UR,SR,p_TD,p_LE,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,101.48726393375043,0.0,64.2949986436808,58.88116209340388,118.48537433070223,0.0,23.235122212156025,10.435188327626937,0.0,0.0,18.70092449386624,0.6871263986559045,
"[L L]"
,[L L1],1
,,,4.429508698889918e-84,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,0.016129032258064516,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0
,,,4.353782926040535e-118,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],0
,,,1.837053453200934e-97,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,1.925950786936599e-30,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0
,,,1.4818746890639134e-113,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0
,,,1.2485646360546746e-66,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0
,,,1.6191477314032172e-74,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,1.5444117011669674e-141,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0
,,,4.249675198006049e-62,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1
,,,0.016129032258064516,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,1.270281043056022e-32,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0
,,,3.118602149926592e-100,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,1.1355669013324759e-18,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1
,,,0.016129032258064512,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,4.41193571924765e-18,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0
,,,1.0456206580042461e-38,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0
,,,3.55892522383505e-34,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],0
,,,4.738608648193861e-07,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],1
,,,0.016128558397199698,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0
,,,1.4133074939552864e-68,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,1.7945069939584594e-38,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],0
,,,2.1428019374500993e-66,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,5.861420732407599e-82,"[(H1) H]",1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]"
,[L2 L1 L2],0
,,,1.1005616591612963e-155,"[(L2) (L1) (L2)]",0,3,0,0,3,0,0,1,1,3,3,1
,[L L1 L2],0
,,,1.481874689063812e-113,"[L (L1) (L2)]",0,2,0,1,2,1,0,1,1,3,1,1
,,,5.395904215813015e-32,"[(L L1) (L2)]",0,2,0,0,1,0,0,0,1,2,1,1
,[L1 L L2],0
,,,4.0771427524395626e-40,"[(L1) (L L2)]",0,2,0,0,1,0,0,0,2,1,2,1
,,,6.443192501821354e-60,"[(L1 L) (L2)]",0,1,1,0,1,0,0,0,1,2,1,1
,,,3.811078323930023e-117,"[(L1) L (L2)]",0,2,0,1,2,0,0,0,2,2,2,1
,[L L L1],1
,,,0.016129032258063846,"[L (L L1)]",0,1,0,1,0,1,0,1,0,1,0,1
,,,4.429508698889866e-84,"[L L (L1)]",0,1,0,2,1,1,0,2,0,2,0,1
,[L2 L1 L],0
,,,1.4303689840825385e-72,"[(L2) (L1 L)]",0,1,1,0,1,0,0,1,0,1,2,1
,,,1.3643465343887075e-139,"[(L2) (L1) L]",0,2,0,1,2,0,1,1,1,1,3,0
,[L L1 L],0
,,,1.925950786936494e-30,"[L (L1 L)]",0,0,1,1,0,1,0,1,0,1,0,1
,,,1.8370534532008082e-97,"[L (L1) L]",0,1,0,2,1,1,1,1,1,1,1,0
,,,6.689205602845172e-16,"[(L L1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[L2 L2 L1],0
,,,3.2334762150086924e-160,"[(L2) (L2) (L1)]",0,3,0,0,3,0,0,2,0,3,3,1
,[L1 L L],0
,,,4.7245253914266134e-101,"[(L1) L L]",0,1,0,2,1,0,1,0,2,0,2,0
,,,7.987510092763839e-44,"[(L1 L) L]",0,0,1,1,0,0,1,0,1,0,1,0
,[L2 L L1],0
,,,5.561752903960553e-69,"[(L2 L) (L1)]",0,1,1,0,1,0,0,2,0,2,1,1
,,,1.1978741950046342e-44,"[(L2) (L L1)]",0,2,0,0,1,0,0,1,0,1,2,1
,,,3.2897163835082046e-126,"[(L2) L (L1)]",0,2,0,1,2,0,0,2,0,2,2,1
,[L1 L2 L],0
,,,4.6437560869884086e-135,"[(L1) (L2) L]",0,2,0,1,2,0,1,0,2,1,3,0
,,,4.868473301358579e-68,"[(L1) (L2 L)]",0,1,1,0,1,0,0,0,2,1,2,1
,[L L2 L1],0
,,,4.353782926040484e-118,"[L (L2) (L1)]",0,2,0,1,2,1,0,2,0,3,1,1
,,,4.657735421269448e-41,"[(L L2) (L1)]",0,2,0,0,1,0,0,2,0,2,1,1
,[L1 L2 L2],0
,,,3.7459250820952085e-151,"[(L1) (L2) (L2)]",0,3,0,0,3,0,0,0,2,3,3,1
"[L L H]"
,[L2 L1 H2],0
,,,3.28971638066857e-126,"[(L2) (L1) (H2)]",0,3,0,0,2,0,0,1,1,3,3,1
,[L2 L2 H1],0
,,,9.665264624176167e-131,"[(L2) (L2) (H1)]",0,3,0,0,2,0,0,2,0,3,3,1
,[L1 L2 H],0
,,,4.0692138197027074e-201,"[(L1) (L2) H]",1,2,0,1,2,0,1,0,2,1,3,0
,,,4.2661282090696833e-134,"[(L1) (L2 H)]",1,1,1,0,1,0,0,0,2,1,2,1
,[L L2 H1],0
,,,1.3014001433218938e-88,"[L (L2) (H1)]",0,2,0,1,1,1,0,2,0,3,1,1
,,,1.3922553438621203e-11,"[(L L2) (H1)]",0,2,0,0,0,0,0,2,0,2,1,1
,[L1 L H],0
,,,6.999266508755333e-110,"[(L1 L) H]",1,0,1,1,0,0,1,0,1,0,1,0
,,,4.1399900542141484e-167,"[(L1) L H]",1,1,0,2,1,0,1,0,2,0,2,0
,[L2 L1 H],0
,,,1.2533985696645084e-138,"[(L2) (L1 H)]",1,1,1,0,1,0,0,1,0,1,2,1
,,,1.1955446557914532e-205,"[(L2) (L1) H]",1,2,0,1,2,0,1,1,1,1,3,0
,[L L1 H2],1
,,,0.01612903224414196,"[(L L1) (H2)]",0,2,0,0,0,0,0,0,1,2,1,1
,,,4.4295086950663795e-84,"[L (L1) (H2)]",0,2,0,1,1,1,0,1,1,3,1,1
,[L2 L H1],0
,,,1.6624774705793224e-39,"[(L2 L) (H1)]",0,1,1,0,0,0,0,2,0,2,1,1
,,,9.833373518416318e-97,"[(L2) L (H1)]",0,2,0,1,1,0,0,2,0,2,2,1
,,,1.248564634976917e-66,"[(L2) (L H1)]",0,2,0,0,1,0,0,1,0,1,2,1
,[L L H1],0
,,,1.3240355234759544e-54,"[L L (H1)]",0,1,0,2,0,1,0,2,0,2,0,1
,,,1.6811564484651494e-24,"[L (L H1)]",0,1,0,1,0,1,0,1,0,1,0,1
,[L L1 H],0
