UR,SR,p_TD,p_LE,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,310.3381301816915,124.0155753260978,0.0,30.034433420571204,73.97790602500807,34.085756408622885,7.207293391969973,0.0,78.71446877283279,7.101374291493129,0.0,62.79181210321611,
"[L L]"
,[L L1],0
,,,1.9453583649948803e-119,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,2.2301202248858604e-56,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0
,,,1.4078871159575001e-177,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],1
,,,1.3524883310749585e-111,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,0.016129032258064516,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0
,,,9.189849531407797e-212,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0
,,,1.3678681525136912e-91,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0
,,,1.9442445158113858e-83,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,1.6303321726427377e-192,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0
,,,8.928629545598498e-126,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1
,,,0.016129032258064516,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,1.890061868271923e-33,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0
,,,3.2423668810828384e-254,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,3.7169850491901296e-191,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1
,,,0.016129032258064516,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,1.8168952780694576e-79,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0
,,,1.8913164677767847e-145,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0
,,,1.2345388744694649e-179,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],1
,,,0.016129032258064516,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0
,,,1.052807273103207e-36,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0
,,,2.7650708333828254e-111,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,2.3596008901149454e-80,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],0
,,,1.7065483039045492e-26,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,1.922384124200189e-103,"[(H1) H]",1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]"
,[L2 L1 L2],0
,,,7.882337629969037e-281,"[(L2) (L1) (L2)]",0,3,0,0,3,0,0,1,1,3,3,1
,[L L1 L2],0
,,,1.0891477924880693e-222,"[L (L1) (L2)]",0,2,0,1,2,1,0,1,1,3,1,1
,,,1.2485774156701262e-159,"[(L L1) (L2)]",0,2,0,0,1,0,0,0,1,2,1,1
