UR,SR,p_TD,p_LE,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,123.59532019219343,54.8595039483918,0.0,9.101120463420084,19.83880852904904,17.37687522924814,0.0013381916627843579,0.0,10.0385209341201,0.0,0.0,54.552884904697734,
"[L L]"
,[L L1],0
,,,1.8505293301539117e-46,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,2.4122841637082687e-26,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0
,,,2.1158188288075425e-67,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],1
,,,1.3987447396632145e-19,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,0.016129032258064516,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0
,,,9.24281433995833e-72,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0
,,,5.841755741371031e-35,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0
,,,2.269983010172011e-32,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,1.9685786126537847e-49,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0
,,,2.5519322827517477e-39,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1
,,,0.01612903225801342,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,5.109293948903327e-14,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0
,,,3.8952059307953443e-100,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,5.077651798395772e-80,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1
,,,0.016129032200305,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,5.7759514807685504e-11,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0
,,,8.737024383899548e-59,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0
,,,3.8167112025176235e-63,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],1
,,,0.016128312526519892,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0
,,,7.045546446123038e-07,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0
,,,7.190445607865342e-44,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,2.26988171591969e-32,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],0
,,,1.5176899956006848e-08,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,5.434984361474272e-17,"[(H1) H]",1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]"
,[L2 L1 L2],0
,,,1.3981193320780505e-119,"[(L2) (L1) (L2)]",0,3,0,0,3,0,0,1,1,3,3,1
,[L L1 L2],0
,,,1.2228177553953019e-98,"[L (L1) (L2)]",0,2,0,1,2,1,0,1,1,3,1,1
,,,1.594021698751571e-78,"[(L L1) (L2)]",0,2,0,0,1,0,0,0,1,2,1,1
,[L1 L L2],0
,,,6.963378156403738e-83,"[(L1) (L L2)]",0,2,0,0,1,0,0,0,2,1,2,1
,,,1.0657959698950204e-54,"[(L1 L) (L2)]",0,1,1,0,1,0,0,0,1,2,1,1
,,,1.8809121537716123e-95,"[(L1) L (L2)]",0,2,0,1,2,0,0,0,2,2,2,1
,[L L L1],0
,,,3.191434770780822e-53,"[L (L L1)]",0,1,0,1,0,1,0,1,0,1,0,1
,,,8.62054065354845e-66,"[L L (L1)]",0,1,0,2,1,1,0,2,0,2,0,1
,[L2 L1 L],0
,,,2.43976682623832e-50,"[(L2) (L1 L)]",0,1,1,0,1,0,0,1,0,1,2,1
,,,2.1158188288075125e-67,"[(L2) (L1) L]",0,2,0,1,2,0,1,1,1,1,3,0
,[L L1 L],0
,,,2.1338594823050162e-29,"[L (L1 L)]",0,0,1,1,0,1,0,1,0,1,0,1
,,,1.8505293301538857e-46,"[L (L1) L]",0,1,0,2,1,1,1,1,1,1,1,0
,,,2.4122841637083032e-26,"[(L L1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[L2 L2 L1],0
,,,3.2005048450899986e-115,"[(L2) (L2) (L1)]",0,3,0,0,3,0,0,2,0,3,3,1
,[L1 L L],1
,,,2.8464446910749838e-43,"[(L1) L L]",0,1,0,2,1,0,1,0,2,0,2,0
,,,0.016129032258064516,"[(L1 L) L]",0,0,1,1,0,0,1,0,1,0,1,0
,[L2 L L1],0
,,,2.43976682623832e-50,"[(L2 L) (L1)]",0,1,1,0,1,0,0,2,0,2,1,1
,,,3.64895474440685e-74,"[(L2) (L L1)]",0,2,0,0,1,0,0,1,0,1,2,1
,,,9.856370246107733e-87,"[(L2) L (L1)]",0,2,0,1,2,0,0,2,0,2,2,1
,[L1 L2 L],0
,,,9.242814339958463e-72,"[(L1) (L2) L]",0,2,0,1,2,0,1,0,2,1,3,0
,,,4.655859065006851e-59,"[(L1) (L2 L)]",0,1,1,0,1,0,0,0,2,1,2,1
,[L L2 L1],0
,,,2.7992132438280906e-94,"[L (L2) (L1)]",0,2,0,1,2,1,0,2,0,3,1,1
,,,3.64895474440685e-74,"[(L L2) (L1)]",0,2,0,0,1,0,0,2,0,2,1,1
,[L1 L2 L2],0
,,,6.1075916498895194e-124,"[(L1) (L2) (L2)]",0,3,0,0,3,0,0,0,2,3,3,1
"[L L H]"
,[L2 L1 H2],0
,,,9.242410591347078e-72,"[(L2) (L1) (H2)]",0,3,0,0,2,0,0,1,1,3,3,1
,[L2 L2 H1],0
,,,2.1157264046948887e-67,"[(L2) (L2) (H1)]",0,3,0,0,2,0,0,2,0,3,3,1
,[L1 L2 H],0
,,,3.1145451170853115e-86,"[(L1) (L2) H]",1,2,0,1,2,0,1,0,2,1,3,0
,,,1.568881791129736e-73,"[(L1) (L2 H)]",1,1,1,0,1,0,0,0,2,1,2,1
,[L L2 H1],0
,,,1.850448494531811e-46,"[L (L2) (H1)]",0,2,0,1,1,1,0,2,0,3,1,1
,,,2.4121787892687753e-26,"[(L L2) (H1)]",0,2,0,0,0,0,0,2,0,2,1,1
,[L1 L H],0
,,,5.4349894756071277e-17,"[(L1 L) H]",1,0,1,1,0,0,1,0,1,0,1,0
,,,9.591646102111997e-58,"[(L1) L H]",1,1,0,2,1,0,1,0,2,0,2,0
,[L2 L1 H],0
,,,8.221266354595217e-65,"[(L2) (L1 H)]",1,1,1,0,1,0,0,1,0,1,2,1
,,,7.129660901453342e-82,"[(L2) (L1) H]",1,2,0,1,2,0,1,1,1,1,3,0
,[L L1 H2],0
,,,1.053744318768675e-30,"[(L L1) (H2)]",0,2,0,0,0,0,0,0,1,2,1,1
,,,8.083561620563098e-51,"[L (L1) (H2)]",0,2,0,1,1,1,0,1,1,3,1,1
,[L2 L H1],1
,,,0.01612832770270579,"[(L2 L) (H1)]",0,1,1,0,0,0,0,2,0,2,1,1
