UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,426.0871719083308,138.11287583486444,0.0,56.19116547274025,170.6418969944084,0.0,7.164163749277731,10.196940259917698,0.0,0.0,18.713187061375923,0.0,
"[L L]","[(L1 L)]",1,1.0,0.016129032258064516,0,0,1,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,1.0,0.016129032258064516,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H1 L)]",1,1.0,0.016129032258064516,0,0,1,0,0,0,0,0,0,0,0,1
"[H H]","[(H1) (H2)]",1,0.9999627171656914,0.016128430922027284,0,2,0,0,0,0,0,0,1,1,1,1
"[L L L]","[L (L1 L)]",1,0.9999998450883227,0.016129029759489072,0,0,1,1,0,1,0,1,0,1,0,1
"[L L H]","[(L1 L) (H2)]",1,0.9999999986098866,0.016129032235643333,0,1,1,0,0,0,0,0,1,2,1,1
"[L H L]","[L (H1 L)]",1,1.0,0.016129032258064516,0,0,1,1,0,1,0,1,0,1,0,1
"[L H H]","[(L H1) (H2)]",1,0.9999999986098866,0.016129032235643333,0,2,0,0,0,0,0,0,1,2,1,1
"[H L L]","[(H1 L) L]",1,1.0,0.016129032258064516,0,0,1,1,0,0,1,0,1,0,1,0
"[H L H]","[(H1 L) (H2)]",1,0.9999999986098866,0.016129032235643333,0,1,1,0,0,0,0,0,1,2,1,1
"[H H L]","[(H1) (H2 L)]",1,0.9999627171656914,0.016128430922027284,0,1,1,0,0,0,0,0,2,1,2,1
"[H H H]","[(H1) (H2) (H2)]",1,0.9999627157756817,0.01612843089960777,0,3,0,0,0,0,0,0,2,3,3,1
"[L L L L]","[(L1 L) (L2 L)]",1,0.9999999986098866,0.016129032235643333,0,0,2,0,0,0,0,0,2,2,2,1
"[L L L H]","[(L1 L) (L H2)]",1,0.9999999986098866,0.016129032235643333,0,1,1,0,0,0,0,0,2,2,2,1
"[L L H L]","[(L1 L) (H2 L)]",1,0.9999999986098866,0.016129032235643333,0,0,2,0,0,0,0,0,2,2,2,1
"[L L H H]","[(L1 L) (H2) (H2)]",1,0.9999999986095705,0.016129032235638233,0,2,1,0,0,0,0,0,2,5,3,1
"[L H L L]","[L (H1 L) L]",1,0.9999999999982695,0.016129032258036604,0,0,1,2,0,1,1,1,1,1,1,0
"[L H L H]","[L (H1 L) (H2)]",1,0.9999999986098866,0.016129032235643333,0,1,1,1,0,1,0,1,1,4,1,1
"[L H H L]","[(L H1) (H2 L)]",1,0.9999999986098866,0.016129032235643333,0,1,1,0,0,0,0,0,2,2,2,1
"[L H H H]","[(L H1) (H2) (H2)]",1,0.9999999986098348,0.016129032235642497,0,3,0,0,0,0,0,0,2,5,3,1
"[H L L L]","[(H1 L) (L2 L)]",1,0.9999999986098866,0.016129032235643333,0,0,2,0,0,0,0,0,2,2,2,1
"[H L L H]","[(H1 L) (L H2)]",1,0.9999999986098866,0.016129032235643333,0,1,1,0,0,0,0,0,2,2,2,1
"[H L H L]","[(H1 L) (H2 L)]",1,0.9999999986098866,0.016129032235643333,0,0,2,0,0,0,0,0,2,2,2,1
"[H L H H]","[(H1 L) (H2) (H2)]",1,0.9999999986098348,0.016129032235642497,0,2,1,0,0,0,0,0,2,5,3,1
"[H H L L]","[(H1) (H2 L) L]",1,0.9999627171656914,0.01612843092202728,0,1,1,1,0,0,1,0,3,1,4,0
"[H H L H]","[(H1) (H2 L) (H2)]",1,0.9999627171656396,0.016128430922026444,0,2,1,0,0,0,0,0,3,4,4,1
"[H H H L]","[(H1) (H2) (H2 L)]",1,0.9999627157756817,0.01612843089960777,0,2,1,0,0,0,0,0,3,3,5,1
"[H H H H]","[(H1) (H2) (H2) (H2)]",1,0.9999627157756299,0.016128430899606933,0,4,0,0,0,0,0,0,3,6,6,1
"[L L L L L]","[L (L1 L) (L2 L)]",1,0.9997998493106183,0.016125804021139004,0,0,2,1,0,1,0,1,2,4,2,1
"[L L L L H]","[(L1 L) (L2 L) (H2)]",1,0.9999999986096223,0.016129032235639072,0,1,2,0,0,0,0,0,3,6,4,1
"[L L L H L]","[L (L1 L) (H2 L)]",1,0.9997998493106194,0.016125804021139025,0,0,2,1,0,1,0,1,2,4,2,1
"[L L L H H]","[(L1 L) (L H2) (H2)]",1,0.9999999986098866,0.016129032235643333,0,2,1,0,0,0,0,0,3,6,4,1
"[L L H L L]","[(L1 L) (H2 L) L]",1,0.9999999986098866,0.016129032235643333,0,0,2,1,0,0,1,0,3,2,4,0
"[L L H L H]","[(L1 L) (H2 L) (H2)]",1,0.9999999986098866,0.016129032235643333,0,1,2,0,0,0,0,0,3,6,4,1
"[L L H H L]","[(L1 L) (H2) (H2 L)]",1,0.9999645908641921,0.016128461142970837,0,1,2,0,0,0,0,0,3,5,5,1
"[L L H H H]","[(L1 L) (H2) (H2) (H2)]",1,0.9999645908641921,0.016128461142970844,0,3,1,0,0,0,0,0,3,9,6,1
"[L H L L L]","[L (H1 L) (L2 L)]",1,0.9999999986098866,0.016129032235643333,0,0,2,1,0,1,0,1,2,4,2,1
"[L H L L H]","[L (H1 L) (L H2)]",1,0.9999999986098866,0.016129032235643333,0,1,1,1,0,1,0,1,2,4,2,1
"[L H L H L]","[L (H1 L) (H2 L)]",1,0.9999999986098866,0.016129032235643333,0,0,2,1,0,1,0,1,2,4,2,1
"[L H L H H]","[L (H1 L) (H2) (H2)]",1,0.9999999986098348,0.016129032235642497,0,2,1,1,0,1,0,1,2,8,3,1
"[L H H L L]","[(L H1) (H2 L) L]",1,0.9999999986098866,0.016129032235643333,0,1,1,1,0,0,1,0,3,2,4,0
"[L H H L H]","[(L H1) (H2 L) (H2)]",1,0.9999999986098866,0.016129032235643333,0,2,1,0,0,0,0,0,3,6,4,1
"[L H H H L]","[(L H1) (H2) (H2 L)]",1,0.9999999986098348,0.016129032235642497,0,2,1,0,0,0,0,0,3,5,5,1
"[L H H H H]","[(L H1) (H2) (H2) (H2)]",1,0.9999999986098348,0.016129032235642497,0,4,0,0,0,0,0,0,3,9,6,1
"[H L L L L]","[(H1 L) L (L2 L)]",1,0.9999999999941723,0.016129032257970525,0,0,2,1,0,0,0,0,3,3,3,1
"[H L L L H]","[(H1 L) (L2 L) (H2)]",1,0.9999999986098866,0.016129032235643333,0,1,2,0,0,0,0,0,3,6,4,1
"[H L L H L]","[(H1 L) L (H2 L)]",1,0.9999999999999482,0.01612903225806368,0,0,2,1,0,0,0,0,3,3,3,1
"[H L L H H]","[(H1 L) (L H2) (H2)]",1,0.9999999986098866,0.016129032235643333,0,2,1,0,0,0,0,0,3,6,4,1
"[H L H L L]","[(H1 L) (H2 L) L]",1,0.9999999986098866,0.016129032235643333,0,0,2,1,0,0,1,0,3,2,4,0
"[H L H L H]","[(H1 L) (H2 L) (H2)]",1,0.9999999986098866,0.016129032235643333,0,1,2,0,0,0,0,0,3,6,4,1
"[H L H H L]","[(H1 L) (H2) (H2 L)]",1,0.9999999986098348,0.016129032235642497,0,1,2,0,0,0,0,0,3,5,5,1
"[H L H H H]","[(H1 L) (H2) (H2) (H2)]",1,0.9999999986098348,0.0161290322356425,0,3,1,0,0,0,0,0,3,9,6,1
"[H H L L L]","[(H1) (H2 L) (L2 L)]",1,0.9999627171656396,0.016128430922026447,0,1,2,0,0,0,0,0,4,4,6,1
"[H H L L H]","[(H1) (H2 L) (L H2)]",1,0.9999627171656396,0.016128430922026447,0,2,1,0,0,0,0,0,4,4,6,1
"[H H L H L]","[(H1) (H2 L) (H2 L)]",1,0.9999627171656396,0.016128430922026444,0,1,2,0,0,0,0,0,4,4,6,1
"[H H L H H]","[(H1) (H2 L) (H2) (H2)]",1,0.9999627171656396,0.016128430922026447,0,3,1,0,0,0,0,0,4,8,7,1
"[H H H L L]","[(H1) (H2) (H2 L) L]",1,0.9999627157756817,0.01612843089960777,0,2,1,1,0,0,1,0,4,3,8,0
"[H H H L H]","[(H1) (H2) (H2 L) (H2)]",1,0.9999627157756817,0.01612843089960777,0,3,1,0,0,0,0,0,4,7,8,1
"[H H H H L]","[(H1) (H2) (H2) (H2 L)]",1,0.9999627157756299,0.016128430899606933,0,3,1,0,0,0,0,0,4,6,9,1
"[H H H H H]","[(H1) (H2) (H2) (H2) (H2)]",1,0.9999627157756299,0.016128430899606933,0,5,0,0,0,0,0,0,4,10,10,1
