UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,0.0,23.231856704467187,0.0,11.010066695506092,3.8630693229572897,0.0,22.262037767784232,7.738974313996225,2.388794141896991,6.6859802848279974,0.0,0.0,
"[L L]","[(L1 L)]",1,0.9999999999186171,0.01612903225675189,0,0,1,0,0,0,0,0,0,0,0,1
"[L H]","[(L1 H)]",1,0.9999999999186171,0.01612903225675189,1,0,1,0,0,0,0,0,0,0,0,1
"[H L]","[(H1 L)]",1,0.9999999999186171,0.01612903225675189,0,0,1,0,0,0,0,0,0,0,0,1
"[H H]","[(H1 H)]",1,0.9999999999186171,0.01612903225675189,1,0,1,0,0,0,0,0,0,0,0,1
"[L L L]","[L (L1 L)]",1,0.9999616522554912,0.016128413746056308,0,0,1,1,0,1,0,1,0,1,0,1
"[L L H]","[L (L1 H)]",1,0.999960385299209,0.016128393311277568,1,0,1,1,0,1,0,1,0,1,0,1
"[L H L]","[L (H1 L)]",1,0.9999616522554912,0.016128413746056305,0,0,1,1,0,1,0,1,0,1,0,1
"[L H H]","[L (H1 H)]",1,0.9999603852992092,0.016128393311277568,1,0,1,1,0,1,0,1,0,1,0,1
"[H L L]","[H (L1 L)]",1,0.9998637315976231,0.01612683438060682,1,0,1,1,0,1,0,1,0,1,0,1
"[H L H]","[H (L1 H)]",1,0.9998624648894606,0.016126813949830014,2,0,1,1,0,1,0,1,0,1,0,1
"[H H L]","[H (H1 L)]",1,0.9998637315976231,0.016126834380606823,1,0,1,1,0,1,0,1,0,1,0,1
"[H H H]","[H (H1 H)]",1,0.9998624648894606,0.016126813949830014,2,0,1,1,0,1,0,1,0,1,0,1
"[L L L L]","[(L1 L) (L2 L)]",1,0.9999774635296513,0.016128668766607283,0,0,2,0,0,0,0,0,2,2,2,1
"[L L L H]","[(L1 L) (L2 H)]",1,0.9999774635296516,0.016128668766607283,1,0,2,0,0,0,0,0,2,2,2,1
"[L L H L]","[(L1 L) (H2 L)]",1,0.9999774635296513,0.016128668766607283,0,0,2,0,0,0,0,0,2,2,2,1
"[L L H H]","[(L1 L) (H2 H)]",1,0.9999774635296516,0.016128668766607283,1,0,2,0,0,0,0,0,2,2,2,1
"[L H L L]","[(L1 H) (L2 L)]",1,0.9999774635296513,0.016128668766607283,1,0,2,0,0,0,0,0,2,2,2,1
"[L H L H]","[(L1 H) (L2 H)]",1,0.9999774635296518,0.016128668766607287,2,0,2,0,0,0,0,0,2,2,2,1
"[L H H L]","[(L1 H) (H2 L)]",1,0.9999774635296516,0.016128668766607283,1,0,2,0,0,0,0,0,2,2,2,1
"[L H H H]","[(L1 H) (H2 H)]",1,0.9999774635296516,0.016128668766607283,2,0,2,0,0,0,0,0,2,2,2,1
"[H L L L]","[(H1 L) (L2 L)]",1,0.9999774635296516,0.016128668766607283,0,0,2,0,0,0,0,0,2,2,2,1
"[H L L H]","[(H1 L) (L2 H)]",1,0.9999774635296512,0.01612866876660728,1,0,2,0,0,0,0,0,2,2,2,1
"[H L H L]","[(H1 L) (H2 L)]",1,0.9999774635296512,0.01612866876660728,0,0,2,0,0,0,0,0,2,2,2,1
"[H L H H]","[(H1 L) (H2 H)]",1,0.9999774635296512,0.01612866876660728,1,0,2,0,0,0,0,0,2,2,2,1
"[H H L L]","[(H1 H) (L2 L)]",1,0.9999774635296513,0.016128668766607283,1,0,2,0,0,0,0,0,2,2,2,1
"[H H L H]","[(H1 H) (L2 H)]",1,0.9999774635296513,0.016128668766607283,2,0,2,0,0,0,0,0,2,2,2,1
"[H H H L]","[(H1 H) (H2 L)]",1,0.9999774635296512,0.01612866876660728,1,0,2,0,0,0,0,0,2,2,2,1
"[H H H H]","[(H1 H) (H2 H)]",1,0.9999774635296512,0.016128668766607283,2,0,2,0,0,0,0,0,2,2,2,1
"[L L L L L]","[(L1 L) L (L2 L)]",1,0.9999937947519473,0.016128932173418504,0,0,2,1,0,0,0,0,3,3,3,1
"[L L L L H]","[(L1 L) L (L2 H)]",1,0.9999937947519381,0.016128932173418355,1,0,2,1,0,0,0,0,3,3,3,1
"[L L L H L]","[(L1 L) L (H2 L)]",1,0.9999937947519475,0.016128932173418504,0,0,2,1,0,0,0,0,3,3,3,1
"[L L L H H]","[(L1 L) L (H2 H)]",1,0.9999937947519381,0.016128932173418355,1,0,2,1,0,0,0,0,3,3,3,1
"[L L H L L]","[(L1 L) H (L2 L)]",1,0.9999937947444388,0.0161289321732974,1,0,2,1,0,0,0,0,3,3,3,1
"[L L H L H]","[(L1 L) H (L2 H)]",1,0.9999937947444295,0.016128932173297247,2,0,2,1,0,0,0,0,3,3,3,1
"[L L H H L]","[(L1 L) H (H2 L)]",1,0.999993794744439,0.0161289321732974,1,0,2,1,0,0,0,0,3,3,3,1
"[L L H H H]","[(L1 L) H (H2 H)]",1,0.9999937947444295,0.01612893217329725,2,0,2,1,0,0,0,0,3,3,3,1
"[L H L L L]","[(L1 H) L (L2 L)]",1,0.9999937947519477,0.016128932173418504,1,0,2,1,0,0,0,0,3,3,3,1
"[L H L L H]","[(L1 H) L (L2 H)]",1,0.9999937947519381,0.016128932173418355,2,0,2,1,0,0,0,0,3,3,3,1
"[L H L H L]","[(L1 H) L (H2 L)]",1,0.9999937947519473,0.016128932173418504,1,0,2,1,0,0,0,0,3,3,3,1
"[L H L H H]","[(L1 H) L (H2 H)]",1,0.9999937947519378,0.016128932173418355,2,0,2,1,0,0,0,0,3,3,3,1
"[L H H L L]","[(L1 H) H (L2 L)]",1,0.9999937947444388,0.0161289321732974,2,0,2,1,0,0,0,0,3,3,3,1
"[L H H L H]","[(L1 H) H (L2 H)]",1,0.9999937947444297,0.01612893217329725,3,0,2,1,0,0,0,0,3,3,3,1
"[L H H H L]","[(L1 H) H (H2 L)]",1,0.9999937947444388,0.0161289321732974,2,0,2,1,0,0,0,0,3,3,3,1
"[L H H H H]","[(L1 H) H (H2 H)]",1,0.9999937947444293,0.01612893217329725,3,0,2,1,0,0,0,0,3,3,3,1
"[H L L L L]","[(H1 L) L (L2 L)]",1,0.9999937941715742,0.016128932164057648,0,0,2,1,0,0,0,0,3,3,3,1
"[H L L L H]","[(H1 L) L (L2 H)]",1,0.999993794171565,0.0161289321640575,1,0,2,1,0,0,0,0,3,3,3,1
"[H L L H L]","[(H1 L) L (H2 L)]",1,0.9999937941715744,0.016128932164057648,0,0,2,1,0,0,0,0,3,3,3,1
"[H L L H H]","[(H1 L) L (H2 H)]",1,0.999993794171565,0.0161289321640575,1,0,2,1,0,0,0,0,3,3,3,1
"[H L H L L]","[(H1 L) H (L2 L)]",1,0.999993794164066,0.016128932163936543,1,0,2,1,0,0,0,0,3,3,3,1
"[H L H L H]","[(H1 L) H (L2 H)]",1,0.9999937941640566,0.016128932163936398,2,0,2,1,0,0,0,0,3,3,3,1
"[H L H H L]","[(H1 L) H (H2 L)]",1,0.999993794164066,0.016128932163936543,1,0,2,1,0,0,0,0,3,3,3,1
"[H L H H H]","[(H1 L) H (H2 H)]",1,0.9999937941640566,0.016128932163936394,2,0,2,1,0,0,0,0,3,3,3,1
"[H H L L L]","[(H1 H) L (L2 L)]",1,0.9999937941715742,0.016128932164057648,1,0,2,1,0,0,0,0,3,3,3,1
"[H H L L H]","[(H1 H) L (L2 H)]",1,0.9999937941715645,0.0161289321640575,2,0,2,1,0,0,0,0,3,3,3,1
"[H H L H L]","[(H1 H) L (H2 L)]",1,0.9999937941715744,0.016128932164057648,1,0,2,1,0,0,0,0,3,3,3,1
"[H H L H H]","[(H1 H) L (H2 H)]",1,0.999993794171565,0.0161289321640575,2,0,2,1,0,0,0,0,3,3,3,1
"[H H H L L]","[(H1 H) H (L2 L)]",1,0.9999937941640658,0.016128932163936543,2,0,2,1,0,0,0,0,3,3,3,1
"[H H H L H]","[(H1 H) H (L2 H)]",1,0.9999937941640564,0.016128932163936398,3,0,2,1,0,0,0,0,3,3,3,1
"[H H H H L]","[(H1 H) H (H2 L)]",1,0.9999937941640658,0.016128932163936547,2,0,2,1,0,0,0,0,3,3,3,1
"[H H H H H]","[(H1 H) H (H2 H)]",1,0.9999937941640566,0.016128932163936394,3,0,2,1,0,0,0,0,3,3,3,1
"[L L L L L L]","[(L1 L) (L2 L) (L2 L)]",1,0.9998020292615116,0.016125839181637285,0,0,3,0,0,0,0,0,4,6,6,1
"[L L L L L L L]","[(L1 L) (L2 L) L (L2 L)]",1,0.9985363017173328,0.016105424221247305,0,0,3,1,0,0,0,0,5,7,8,1
