UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,133.2188044683434,0.0,97.15495620584225,60.538109578191815,143.25171864965068,0.0,0.001431598281488353,11.09505173438207,0.0,0.0,20.492828895749778,145.83693826606253,
"[L L]","[(L L1)]",1,1.0,0.016129032258064516,0,1,0,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,1.0,0.016129032258064516,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H1) L]",1,1.0,0.01612903225806452,0,1,0,1,0,0,1,0,1,0,1,0
"[H H]","[(H1) (H2)]",1,0.9999848129417174,0.01612878730551157,0,2,0,0,0,0,0,0,1,1,1,1
"[L L L]","[(L L1) L]",1,1.0,0.01612903225806452,0,1,0,1,0,0,1,0,1,0,1,0
"[L L H]","[(L L1) (H2)]",1,0.9999999997693463,0.016129032254344297,0,2,0,0,0,0,0,0,1,2,1,1
"[L H L]","[(L H1) L]",1,1.0,0.01612903225806452,0,1,0,1,0,0,1,0,1,0,1,0
"[L H H]","[(L H1) (H2)]",1,0.9999999997693463,0.016129032254344297,0,2,0,0,0,0,0,0,1,2,1,1
"[H L L]","[(H1) L L]",1,0.9999999005728,0.016129030654400005,0,1,0,2,0,0,1,0,2,0,2,0
"[H L H]","[(H1) (L H2)]",1,0.9999848129417174,0.016128787305511573,0,2,0,0,0,0,0,0,2,1,2,1
"[H H L]","[(H1) (H2) L]",1,0.9999848129417174,0.01612878730551157,0,2,0,1,0,0,1,0,2,1,3,0
"[H H H]","[(H1) (H2) (H2)]",1,0.9999848127110704,0.01612878730179146,0,3,0,0,0,0,0,0,2,3,3,1
"[L L L L]","[L (L L1) L]",1,0.9999170987208631,0.016127695140659086,0,1,0,2,0,1,1,1,1,1,1,0
"[L L L H]","[(L L1) (L H2)]",1,0.9999999997693463,0.016129032254344297,0,2,0,0,0,0,0,0,2,2,2,1
"[L L H L]","[(L L1) (H2) L]",1,0.9999999997692972,0.016129032254343503,0,2,0,1,0,0,1,0,2,2,3,0
"[L L H H]","[(L L1) (H2) (H2)]",1,0.9999999997692938,0.016129032254343447,0,3,0,0,0,0,0,0,2,5,3,1
"[L H L L]","[(L H1) L L]",1,0.9999999999823322,0.016129032257779556,0,1,0,2,0,0,1,0,2,0,2,0
"[L H L H]","[(L H1) (L H2)]",1,0.9999999997693463,0.016129032254344297,0,2,0,0,0,0,0,0,2,2,2,1
"[L H H L]","[(L H1) (H2) L]",1,0.9999999997693463,0.016129032254344297,0,2,0,1,0,0,1,0,2,2,3,0
"[L H H H]","[(L H1) (H2) (H2)]",1,0.9999999997693428,0.016129032254344238,0,3,0,0,0,0,0,0,2,5,3,1
"[H L L L]","[(H1) (L L2) L]",1,0.9999848129417174,0.01612878730551157,0,2,0,1,0,0,1,0,3,1,4,0
"[H L L H]","[(H1) (L L2) (H2)]",1,0.9999848129417139,0.016128787305511514,0,3,0,0,0,0,0,0,3,4,4,1
"[H L H L]","[(H1) (L H2) L]",1,0.9999848129417174,0.01612878730551157,0,2,0,1,0,0,1,0,3,1,4,0
"[H L H H]","[(H1) (L H2) (H2)]",1,0.9999848129417139,0.016128787305511514,0,3,0,0,0,0,0,0,3,4,4,1
"[H H L L]","[(H1) (H2) L L]",1,0.9999847135160277,0.016128785701871415,0,2,0,2,0,0,1,0,3,1,5,0
"[H H L H]","[(H1) (H2) (L H2)]",1,0.9999848127110706,0.016128787301791462,0,3,0,0,0,0,0,0,3,3,5,1
"[H H H L]","[(H1) (H2) (H2) L]",1,0.9999848127110704,0.01612878730179146,0,3,0,1,0,0,1,0,3,3,6,0
"[H H H H]","[(H1) (H2) (H2) (H2)]",1,0.999984812711067,0.016128787301791406,0,4,0,0,0,0,0,0,3,6,6,1
"[L L L L L]","[(L L1) (L L2) L]",1,0.9999999997693463,0.016129032254344294,0,2,0,1,0,0,1,0,3,2,4,0
"[L L L L H]","[(L L1) (L L2) (H2)]",1,0.9999999997692972,0.016129032254343506,0,3,0,0,0,0,0,0,3,6,4,1
"[L L L H L]","[(L L1) (L H2) L]",1,0.9999999997693463,0.016129032254344294,0,2,0,1,0,0,1,0,3,2,4,0
"[L L L H H]","[(L L1) (L H2) (H2)]",1,0.9999999997693463,0.016129032254344294,0,3,0,0,0,0,0,0,3,6,4,1
"[L L H L L]","[(L L1) (H2) L L]",1,0.9999610080206519,0.016128403355171805,0,2,0,2,0,0,1,0,3,2,5,0
"[L L H L H]","[(L L1) (H2) (L H2)]",1,0.999961107440106,0.016128404958711387,0,3,0,0,0,0,0,0,3,5,5,1
"[L L H H L]","[(L L1) (H2) (H2) L]",1,0.999961107440106,0.016128404958711384,0,3,0,1,0,0,1,0,3,5,6,0
"[L L H H H]","[(L L1) (H2) (H2) (H2)]",1,0.999961107440106,0.016128404958711387,0,4,0,0,0,0,0,0,3,9,6,1
"[L H L L L]","[(L H1) (L L2) L]",1,0.9999999997693463,0.016129032254344294,0,2,0,1,0,0,1,0,3,2,4,0
"[L H L L H]","[(L H1) (L L2) (H2)]",1,0.9999999997693463,0.016129032254344294,0,3,0,0,0,0,0,0,3,6,4,1
"[L H L H L]","[(L H1) (L H2) L]",1,0.9999999997693463,0.016129032254344294,0,2,0,1,0,0,1,0,3,2,4,0
"[L H L H H]","[(L H1) (L H2) (H2)]",1,0.9999999997693463,0.016129032254344294,0,3,0,0,0,0,0,0,3,6,4,1
"[L H H L L]","[(L H1) (H2) L L]",1,0.9999999003421466,0.016129030650679783,0,2,0,2,0,0,1,0,3,2,5,0
"[L H H L H]","[(L H1) (H2) (L H2)]",1,0.9999999997693428,0.016129032254344238,0,3,0,0,0,0,0,0,3,5,5,1
"[L H H H L]","[(L H1) (H2) (H2) L]",1,0.9999999997693428,0.016129032254344238,0,3,0,1,0,0,1,0,3,5,6,0
"[L H H H H]","[(L H1) (H2) (H2) (H2)]",1,0.9999999997693428,0.016129032254344238,0,4,0,0,0,0,0,0,3,9,6,1
"[H L L L L]","[(H1) L (L L2) L]",1,0.9999998991006452,0.01612903063065557,0,2,0,2,0,0,1,0,4,2,5,0
"[H L L L H]","[(H1) (L L2) (L H2)]",1,0.9999848129417139,0.016128787305511517,0,3,0,0,0,0,0,0,4,4,6,1
"[H L L H L]","[(H1) (L L2) (H2) L]",1,0.999984809717195,0.01612878725350314,0,3,0,1,0,0,1,0,4,4,7,0
"[H L L H H]","[(H1) (L L2) (H2) (H2)]",1,0.999984809717195,0.016128787253503144,0,4,0,0,0,0,0,0,4,8,7,1
"[H L H L L]","[(H1) (L H2) L L]",1,0.9999848129240501,0.016128787305226613,0,2,0,2,0,0,1,0,4,1,6,0
"[H L H L H]","[(H1) (L H2) (L H2)]",1,0.9999848129417139,0.016128787305511517,0,3,0,0,0,0,0,0,4,4,6,1
"[H L H H L]","[(H1) (L H2) (H2) L]",1,0.9999848129417139,0.016128787305511514,0,3,0,1,0,0,1,0,4,4,7,0
"[H L H H H]","[(H1) (L H2) (H2) (H2)]",1,0.9999848129417139,0.016128787305511514,0,4,0,0,0,0,0,0,4,8,7,1
"[H H L L L]","[(H1) (H2) (L L2) L]",1,0.9999848127110704,0.016128787301791462,0,3,0,1,0,0,1,0,4,3,8,0
"[H H L L H]","[(H1) (H2) (L L2) (H2)]",1,0.9999848127110704,0.016128787301791462,0,4,0,0,0,0,0,0,4,7,8,1
"[H H L H L]","[(H1) (H2) (L H2) L]",1,0.9999848127110706,0.016128787301791462,0,3,0,1,0,0,1,0,4,3,8,0
"[H H L H H]","[(H1) (H2) (L H2) (H2)]",1,0.9999848127110704,0.016128787301791462,0,4,0,0,0,0,0,0,4,7,8,1
"[H H H L L]","[(H1) (H2) (H2) L L]",1,0.9999847132853809,0.016128785698151304,0,3,0,2,0,0,1,0,4,3,9,0
"[H H H L H]","[(H1) (H2) (H2) (L H2)]",1,0.9999848127110672,0.016128787301791403,0,4,0,0,0,0,0,0,4,6,9,1
"[H H H H L]","[(H1) (H2) (H2) (H2) L]",1,0.999984812711067,0.016128787301791403,0,4,0,1,0,0,1,0,4,6,10,0
"[H H H H H]","[(H1) (H2) (H2) (H2) (H2)]",1,0.999984812711067,0.016128787301791403,0,5,0,0,0,0,0,0,4,10,10,1
"[L L L L L L]","[L (L L1) (L L2) L]",1,0.9999170984901449,0.01612769513693782,0,2,0,2,0,1,1,1,3,4,4,0
"[L L L L L L L]","[(L L1) (L L2) (L L2) L]",1,0.9999999997693463,0.016129032254344294,0,3,0,1,0,0,1,0,5,6,9,0
