UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,100.71752529883165,3.154668626209306,17.656044434243533,0.0,31.506043342020643,0.0,0.0,11.695389113919804,0.7178881134282635,0.0,20.325904393541446,26.6733964980059,
"[L L]","[(L L1)]",1,0.9999994963402186,0.016129024134519655,0,1,0,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,0.9999916679201081,0.01612889786967916,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H1) L]",1,0.9999999981918829,0.016129032228901337,0,1,0,1,0,0,1,0,1,0,1,0
"[H H]","[(H1) (H2)]",1,0.9999829185603084,0.016128756750972716,0,2,0,0,0,0,0,0,1,1,1,1
"[L L L]","[(L L1) L]",1,0.9999994664336268,0.016129023652155274,0,1,0,1,0,0,1,0,1,0,1,0
"[L L H]","[L (L H1)]",1,0.9999879527715609,0.016128837947928406,0,1,0,1,0,1,0,1,0,1,0,1
"[L H L]","[(L H1) L]",1,0.999991667920093,0.01612889786967892,0,1,0,1,0,0,1,0,1,0,1,0
"[L H H]","[(L H1) (H2)]",1,0.9999916676354575,0.016128897865088025,0,2,0,0,0,0,0,0,1,2,1,1
"[H L L]","[(H1 L) L]",1,0.9985610716783038,0.016105823736746835,0,0,1,1,0,0,1,0,1,0,1,0
"[H L H]","[(H1 L) (H2)]",1,0.9971262281208536,0.016082681098723444,0,1,1,0,0,0,0,0,1,2,1,1
"[H H L]","[(H1) (H2) L]",1,0.9999829176783418,0.01612875673674745,0,2,0,1,0,0,1,0,2,1,3,0
"[H H H]","[(H1) (H2) (H2)]",1,0.9999829182685328,0.016128756746266657,0,3,0,0,0,0,0,0,2,3,3,1
"[L L L L]","[L (L L1) L]",1,0.9999123696896259,0.01612761886596171,0,1,0,2,0,1,1,1,1,1,1,0
"[L L L H]","[L L (L H1)]",1,0.999987952124352,0.016128837937489548,0,1,0,2,0,1,0,2,0,2,0,1
"[L L H L]","[L (L H1) L]",1,0.9999916679200874,0.01612889786967883,0,1,0,2,0,1,1,1,1,1,1,0
"[L L H H]","[L (L H1) (H2)]",1,0.9999916676354522,0.01612889786508794,0,2,0,1,0,1,0,1,1,4,1,1
"[L H L L]","[(L H1) L L]",1,0.9942428128984336,0.016036174401587642,0,1,0,2,0,0,1,0,2,0,2,0
"[L H L H]","[(L H1) (L H2)]",1,0.49855447694905813,0.008041201241113842,0,2,0,0,0,0,0,0,2,2,2,1
"[L H H L]","[(L H1) (H2) L]",1,0.9999916667534993,0.016128897850862894,0,2,0,1,0,0,1,0,2,2,3,0
"[L H H H]","[(L H1) (H2) (H2)]",1,0.9999916676354529,0.01612889786508795,0,3,0,0,0,0,0,0,2,5,3,1
"[H L L L]","[(H1 L) L L]",1,0.9985610716781018,0.016105823736743578,0,0,1,2,0,0,1,0,2,0,2,0
"[H L L H]","[(H1 L) L (H2)]",1,0.4992805357661772,0.008052911867196406,0,1,1,1,0,0,0,0,2,3,2,1
"[H L H L]","[(H1 L) (H2) L]",1,0.9971262272426862,0.016082681084559455,0,1,1,1,0,0,1,0,2,2,3,0
"[H L H H]","[(H1 L) (H2) (H2)]",1,0.9971262281208512,0.016082681098723406,0,2,1,0,0,0,0,0,2,5,3,1
"[H H L L]","[(H1) (H2 L) L]",1,0.997019642901071,0.016080961982275342,0,1,1,1,0,0,1,0,3,1,4,0
"[H H L H]","[(H1) (H2 L) (H2)]",1,0.9940916035126662,0.016033735540526874,0,2,1,0,0,0,0,0,3,4,4,1
"[H H H L]","[(H1) (H2) (H2) L]",1,0.999982917386582,0.016128756732041644,0,3,0,1,0,0,1,0,3,3,6,0
"[H H H H]","[(H1) (H2) (H2) (H2)]",1,0.9999829182685276,0.016128756746266574,0,4,0,0,0,0,0,0,3,6,6,1
"[L L L L L]","[L L (L L1) L]",1,0.9999123621037785,0.016127618743609337,0,1,0,3,0,1,1,2,1,2,1,0
"[L L L L H]","[L L L (L H1)]",1,0.9999879521242956,0.01612883793748864,0,1,0,3,0,1,0,3,0,3,0,1
"[L L L H L]","[L L (L H1) L]",1,0.9999916679200874,0.01612889786967883,0,1,0,3,0,1,1,2,1,2,1,0
"[L L L H H]","[L L (L H1) (H2)]",1,0.9999916676354522,0.01612889786508794,0,2,0,2,0,1,0,2,1,6,1,1
"[L L H L L]","[L (L H1) L L]",1,0.9942428128984339,0.016036174401587642,0,1,0,3,0,1,1,1,2,1,2,0
"[L L H L H]","[L (L H1) L (H2)]",1,0.49855447694905813,0.008041201241113842,0,2,0,2,0,1,0,1,2,5,2,1
"[L L H H L]","[L (L H1) (H2) L]",1,0.9999916667534993,0.01612889785086289,0,2,0,2,0,1,1,1,2,4,3,0
"[L L H H H]","[L (L H1) (H2) (H2)]",1,0.9999916676354529,0.01612889786508795,0,3,0,1,0,1,0,1,2,8,3,1
"[L H L L L]","[(L H1) L L L]",1,0.9942428128356987,0.016036174400575785,0,1,0,3,0,0,1,0,3,0,3,0
"[L H L L H]","[(L H1) L (L H2)]",1,0.4971214064331688,0.008018087200534981,0,2,0,1,0,0,0,0,3,3,3,1
"[L H L H L]","[(L H1) (L H2) L]",1,0.49855447672857045,0.008041201237557588,0,2,0,1,0,0,1,0,3,2,4,0
"[L H L H H]","[(L H1) L (H2) (H2)]",1,0.49855447694905813,0.00804120124111384,0,3,0,1,0,0,0,0,3,7,4,1
"[L H H L L]","[(L H1) (H2 L) L]",1,0.9970461969767066,0.016081390273817848,0,1,1,1,0,0,1,0,3,2,4,0
"[L H H L H]","[(L H1) (H2 L) (H2)]",1,0.994118027393386,0.016034161732151376,0,2,1,0,0,0,0,0,3,6,4,1
"[L H H H L]","[(L H1) (H2) (H2) L]",1,0.9999916667534945,0.016128897850862814,0,3,0,1,0,0,1,0,3,5,6,0
"[L H H H H]","[(L H1) (H2) (H2) (H2)]",1,0.9999916676354529,0.01612889786508795,0,4,0,0,0,0,0,0,3,9,6,1
"[H L L L L]","[(H1 L) L L L]",1,0.998561071614822,0.016105823735722936,0,0,1,3,0,0,1,0,3,0,3,0
"[H L L L H]","[(H1 L) L (L H2)]",1,0.49928053582330806,0.00805291186811787,0,1,1,1,0,0,0,0,3,3,3,1
"[H L L H L]","[(H1 L) L (H2) L]",1,0.49928053554602575,0.008052911863645578,0,1,1,2,0,0,1,0,3,3,4,0
"[H L L H H]","[(H1 L) L (H2) (H2)]",1,0.4992805357662,0.008052911867196772,0,2,1,1,0,0,0,0,3,7,4,1
"[H L H L L]","[(H1 L) (H2 L) L]",1,0.9956155949181587,0.016058316047067075,0,0,2,1,0,0,1,0,3,2,4,0
"[H L H L H]","[(H1 L) (H2 L) (H2)]",1,0.9926874440112835,0.016011087806633604,0,1,2,0,0,0,0,0,3,6,4,1
"[H L H H L]","[(H1 L) (H2) (H2) L]",1,0.997126227241416,0.016082681084538968,0,2,1,1,0,0,1,0,3,5,6,0
"[H L H H H]","[(H1 L) (H2) (H2) (H2)]",1,0.9971262281208468,0.016082681098723337,0,3,1,0,0,0,0,0,3,9,6,1
"[H H L L L]","[(H1) (H2 L) L L]",1,0.997019642374961,0.016080961973789692,0,1,1,2,0,0,1,0,4,1,6,0
"[H H L L H]","[(H1) (H2 L) (L H2)]",1,0.49850982118757986,0.00804048098689645,0,2,1,0,0,0,0,0,4,4,6,1
"[H H L H L]","[(H1) (H2 L) (H2) L]",1,0.994091601596033,0.016033735509613428,0,2,1,1,0,0,1,0,4,4,7,0
"[H H L H H]","[(H1) (H2 L) (H2) (H2)]",1,0.9940916024702127,0.016033735523713108,0,3,1,0,0,0,0,0,4,8,7,1
"[H H H L L]","[(H1) (H2) (H2 L) L]",1,0.9970372958790802,0.0160812467077271,0,2,1,1,0,0,1,0,4,3,8,0
"[H H H L H]","[(H1) (H2) (H2 L) (H2)]",1,0.9941091524369203,0.016034018587692257,0,3,1,0,0,0,0,0,4,7,8,1
"[H H H H L]","[(H1) (H2) (H2) (H2) L]",1,0.9999827393677443,0.01612875386077007,0,4,0,1,0,0,1,0,4,6,10,0
"[H H H H H]","[(H1) (H2) (H2) (H2) (H2)]",1,0.9999827402496949,0.01612875387499508,0,5,0,0,0,0,0,0,4,10,10,1
"[L L L L L L]","[L L L (L L1) L]",1,0.999912362103118,0.016127618743598676,0,1,0,4,0,1,1,3,1,3,1,0
"[L L L L L L L]","[L L L L (L L1) L]",1,0.999912362103118,0.01612761874359868,0,1,0,5,0,1,1,4,1,4,1,0
