UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,253.4192571244209,99.84914051077288,0.03320488505506049,18.679033289623305,81.75694760836362,10.618755993376665,14.338452822700397,37.32601200231545,12.213947305481362,0.0,7.547912710116494,5.479568292630962,
"[L L]","[(L1 L)]",1,1.0,0.016129032258064516,0,0,1,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,1.0,0.016129032258064516,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H1 L)]",1,1.0,0.016129032258064516,0,0,1,0,0,0,0,0,0,0,0,1
"[H H]","[(H1) (H2)]",1,0.9999999999875826,0.01612903225786424,0,2,0,0,0,0,0,0,1,1,1,1
"[L L L]","[(L1 L) L]",1,0.9999999959478711,0.016129032192707598,0,0,1,1,0,0,1,0,1,0,1,0
"[L L H]","[(L1 L) (H2)]",1,1.0,0.016129032258064516,0,1,1,0,0,0,0,0,1,2,1,1
"[L H L]","[L (H1 L)]",1,1.0,0.016129032258064516,0,0,1,1,0,1,0,1,0,1,0,1
"[L H H]","[(L H1) (H2)]",1,1.0,0.016129032258064516,0,2,0,0,0,0,0,0,1,2,1,1
"[H L L]","[(H1 L) L]",1,1.0,0.016129032258064516,0,0,1,1,0,0,1,0,1,0,1,0
"[H L H]","[(H1 L) (H2)]",1,1.0,0.016129032258064516,0,1,1,0,0,0,0,0,1,2,1,1
"[H H L]","[(H1) (H2 L)]",1,0.9999974972486573,0.016128991891107374,0,1,1,0,0,0,0,0,2,1,2,1
"[H H H]","[(H1) (H2) (H2)]",1,0.9999999999843082,0.016129032257811426,0,3,0,0,0,0,0,0,2,3,3,1
"[L L L L]","[(L1 L) (L2 L)]",1,1.0,0.016129032258064516,0,0,2,0,0,0,0,0,2,2,2,1
"[L L L H]","[(L1 L) (L H2)]",1,0.9999999922767709,0.016129032133496306,0,1,1,0,0,0,0,0,2,2,2,1
"[L L H L]","[(L1 L) (H2 L)]",1,1.0,0.016129032258064516,0,0,2,0,0,0,0,0,2,2,2,1
"[L L H H]","[(L1 L) (H2) (H2)]",1,1.0,0.016129032258064516,0,2,1,0,0,0,0,0,2,5,3,1
"[L H L L]","[L (H1 L) L]",1,0.9999999999911383,0.016129032257921585,0,0,1,2,0,1,1,1,1,1,1,0
"[L H L H]","[L (H1 L) (H2)]",1,1.0,0.01612903225806452,0,1,1,1,0,1,0,1,1,4,1,1
"[L H H L]","[(L H1) (H2 L)]",1,1.0,0.016129032258064516,0,1,1,0,0,0,0,0,2,2,2,1
"[L H H H]","[(L H1) (H2) (H2)]",1,1.0,0.016129032258064516,0,3,0,0,0,0,0,0,2,5,3,1
"[H L L L]","[(H1 L) (L2 L)]",1,1.0,0.016129032258064516,0,0,2,0,0,0,0,0,2,2,2,1
"[H L L H]","[(H1 L) (L H2)]",1,0.9999999922767709,0.016129032133496306,0,1,1,0,0,0,0,0,2,2,2,1
"[H L H L]","[(H1 L) (H2 L)]",1,1.0,0.016129032258064516,0,0,2,0,0,0,0,0,2,2,2,1
"[H L H H]","[(H1 L) (H2) (H2)]",1,1.0,0.016129032258064516,0,2,1,0,0,0,0,0,2,5,3,1
"[H H L L]","[(H1) (H2 L) L]",1,0.9999974972486573,0.016128991891107374,0,1,1,1,0,0,1,0,3,1,4,0
"[H H L H]","[(H1) (H2 L) (H2)]",1,0.9999974972486573,0.016128991891107374,0,2,1,0,0,0,0,0,3,4,4,1
"[H H H L]","[(H1) (H2) (H2 L)]",1,0.999999993773799,0.01612903215764192,0,2,1,0,0,0,0,0,3,3,5,1
"[H H H H]","[(H1) (H2) (H2) (H2)]",1,0.999999993773799,0.01612903215764192,0,4,0,0,0,0,0,0,3,6,6,1
"[L L L L L]","[(L1 L) L (L2 L)]",1,0.9999999250758546,0.016129031049610557,0,0,2,1,0,0,0,0,3,3,3,1
"[L L L L H]","[(L1 L) (L2 L) (H2)]",1,0.9999848563738464,0.016128788006029782,0,1,2,0,0,0,0,0,3,6,4,1
"[L L L H L]","[(L1 L) L (H2 L)]",1,0.9999999999994241,0.016129032258055228,0,0,2,1,0,0,0,0,3,3,3,1
"[L L L H H]","[(L1 L) (L H2) (H2)]",1,0.9999999922767709,0.016129032133496306,0,2,1,0,0,0,0,0,3,6,4,1
"[L L H L L]","[(L1 L) (H2 L) L]",1,1.0,0.016129032258064516,0,0,2,1,0,0,1,0,3,2,4,0
"[L L H L H]","[(L1 L) (H2 L) (H2)]",1,1.0,0.016129032258064516,0,1,2,0,0,0,0,0,3,6,4,1
"[L L H H L]","[(L1 L) (H2) (H2 L)]",1,0.9999999999999835,0.01612903225806425,0,1,2,0,0,0,0,0,3,5,5,1
"[L L H H H]","[(L1 L) (H2) (H2) (H2)]",1,0.9999999999999835,0.01612903225806425,0,3,1,0,0,0,0,0,3,9,6,1
"[L H L L L]","[L (H1 L) (L2 L)]",1,1.0,0.016129032258064516,0,0,2,1,0,1,0,1,2,4,2,1
"[L H L L H]","[L (H1 L) (L H2)]",1,0.9999999922767709,0.016129032133496306,0,1,1,1,0,1,0,1,2,4,2,1
"[L H L H L]","[L (H1 L) (H2 L)]",1,1.0,0.016129032258064516,0,0,2,1,0,1,0,1,2,4,2,1
