UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,312.1092762808319,128.72172986206303,0.0,29.114246848307182,71.44081909429482,11.834802657596628,12.673315027969922,0.0,82.91219802046385,6.92455165109306,0.0,49.65382855534082,
"[L L]","[(L1 L)]",1,1.0,0.016129032258064516,0,0,1,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,1.0,0.016129032258064516,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H1 L)]",1,1.0,0.016129032258064516,0,0,1,0,0,0,0,0,0,0,0,1
"[H H]","[(H2) (H1)]",1,1.0,0.016129032258064516,0,2,0,0,0,0,0,1,0,1,1,1
"[L L L]","[L (L1 L)]",1,0.9999999999984179,0.016129032258039,0,0,1,1,0,1,0,1,0,1,0,1
"[L L H]","[(L2 L) (H1)]",1,0.9999999999999982,0.016129032258064488,0,1,1,0,0,0,0,2,0,2,1,1
"[L H L]","[L (H1 L)]",1,1.0,0.016129032258064516,0,0,1,1,0,1,0,1,0,1,0,1
"[L H H]","[(L H2) (H1)]",1,1.0,0.016129032258064516,0,2,0,0,0,0,0,2,0,2,1,1
"[H L L]","[(H1 L) L]",1,1.0,0.016129032258064516,0,0,1,1,0,0,1,0,1,0,1,0
"[H L H]","[(H2 L) (H1)]",1,1.0,0.016129032258064516,0,1,1,0,0,0,0,2,0,2,1,1
"[H H L]","[(H2) (H1 L)]",1,1.0,0.016129032258064516,0,1,1,0,0,0,0,1,0,1,2,1
"[H H H]","[(H2) (H2) (H1)]",1,1.0,0.016129032258064516,0,3,0,0,0,0,0,2,0,3,3,1
"[L L L L]","[(L2 L) (L1 L)]",1,1.0,0.016129032258064516,0,0,2,0,0,0,0,2,0,2,2,1
"[L L L H]","[(L2 L) (L H1)]",1,0.9999999999999998,0.016129032258064512,0,1,1,0,0,0,0,2,0,2,2,1
"[L L H L]","[(L2 L) (H1 L)]",1,1.0,0.016129032258064516,0,0,2,0,0,0,0,2,0,2,2,1
"[L L H H]","[(L2 L) (H2) (H1)]",1,0.9999999999999963,0.016129032258064457,0,2,1,0,0,0,0,3,0,5,3,1
"[L H L L]","[L (H1 L) L]",1,0.9999999970788858,0.01612903221094977,0,0,1,2,0,1,1,1,1,1,1,0
"[L H L H]","[L (H2 L) (H1)]",1,1.0,0.016129032258064516,0,1,1,1,0,1,0,3,0,4,1,1
"[L H H L]","[(L H2) (H1 L)]",1,1.0,0.016129032258064516,0,1,1,0,0,0,0,2,0,2,2,1
"[L H H H]","[(L H2) (H2) (H1)]",1,0.9999999999999981,0.016129032258064484,0,3,0,0,0,0,0,3,0,5,3,1
"[H L L L]","[(H2 L) (L1 L)]",1,1.0,0.016129032258064516,0,0,2,0,0,0,0,2,0,2,2,1
"[H L L H]","[(H2 L) (L H1)]",1,0.9999999999999998,0.016129032258064512,0,1,1,0,0,0,0,2,0,2,2,1
"[H L H L]","[(H2 L) (H1 L)]",1,1.0,0.016129032258064516,0,0,2,0,0,0,0,2,0,2,2,1
"[H L H H]","[(H2 L) (H2) (H1)]",1,0.9999999999999981,0.016129032258064484,0,2,1,0,0,0,0,3,0,5,3,1
"[H H L L]","[(H2) (H1 L) L]",1,1.0,0.016129032258064516,0,1,1,1,0,0,1,1,1,1,4,0
"[H H L H]","[(H2) (H2 L) (H1)]",1,1.0,0.016129032258064516,0,2,1,0,0,0,0,3,0,4,4,1
"[H H H L]","[(H2) (H2) (H1 L)]",1,1.0,0.016129032258064516,0,2,1,0,0,0,0,2,0,3,5,1
"[H H H H]","[(H2) (H2) (H2) (H1)]",1,0.9999999999999981,0.016129032258064484,0,4,0,0,0,0,0,3,0,6,6,1
"[L L L L L]","[(L2 L) L (L1 L)]",1,0.9999999928728494,0.016129032143110473,0,0,2,1,0,0,0,3,0,3,3,1
"[L L L L H]","[(L2 L) (L2 L) (H1)]",1,0.9997614258729038,0.016125184288272643,0,1,2,0,0,0,0,4,0,6,4,1
"[L L L H L]","[(L2 L) L (H1 L)]",1,0.9999999928728494,0.016129032143110473,0,0,2,1,0,0,0,3,0,3,3,1
"[L L L H H]","[(L2 L) (L H2) (H1)]",1,0.9999999999999998,0.016129032258064512,0,2,1,0,0,0,0,4,0,6,4,1
"[L L H L L]","[(L2 L) (H1 L) L]",1,1.0,0.016129032258064516,0,0,2,1,0,0,1,2,1,2,4,0
"[L L H L H]","[(L2 L) (H2 L) (H1)]",1,1.0,0.016129032258064516,0,1,2,0,0,0,0,4,0,6,4,1
"[L L H H L]","[(L2 L) (H2) (H1 L)]",1,0.9999999999999982,0.016129032258064488,0,1,2,0,0,0,0,3,0,5,5,1
"[L L H H H]","[(L2 L) (H2) (H2) (H1)]",1,0.999999999998055,0.016129032258033145,0,3,1,0,0,0,0,4,0,9,6,1
"[L H L L L]","[L (H2 L) (L1 L)]",1,1.0,0.016129032258064516,0,0,2,1,0,1,0,3,0,4,2,1
"[L H L L H]","[L (H2 L) (L H1)]",1,0.9999999999999998,0.016129032258064512,0,1,1,1,0,1,0,3,0,4,2,1
"[L H L H L]","[L (H2 L) (H1 L)]",1,1.0,0.016129032258064516,0,0,2,1,0,1,0,3,0,4,2,1
"[L H L H H]","[L (H2 L) (H2) (H1)]",1,0.9999999999980587,0.016129032258033204,0,2,1,1,0,1,0,4,0,8,3,1
"[L H H L L]","[(L H2) (H1 L) L]",1,1.0,0.016129032258064516,0,1,1,1,0,0,1,2,1,2,4,0
"[L H H L H]","[(L H2) (H2 L) (H1)]",1,1.0,0.016129032258064516,0,2,1,0,0,0,0,4,0,6,4,1
"[L H H H L]","[(L H2) (H2) (H1 L)]",1,1.0,0.016129032258064516,0,2,1,0,0,0,0,3,0,5,5,1
"[L H H H H]","[(L H2) (H2) (H2) (H1)]",1,0.9999999999980568,0.016129032258033173,0,4,0,0,0,0,0,4,0,9,6,1
"[H L L L L]","[(H2 L) L (L1 L)]",1,1.0,0.016129032258064516,0,0,2,1,0,0,0,3,0,3,3,1
"[H L L L H]","[(H2 L) (L2 L) (H1)]",1,0.9997614258746038,0.01612518428830006,0,1,2,0,0,0,0,4,0,6,4,1
"[H L L H L]","[(H2 L) L (H1 L)]",1,1.0,0.016129032258064516,0,0,2,1,0,0,0,3,0,3,3,1
"[H L L H H]","[(H2 L) (L H2) (H1)]",1,0.9999999999999998,0.016129032258064512,0,2,1,0,0,0,0,4,0,6,4,1
"[H L H L L]","[(H2 L) (H1 L) L]",1,1.0,0.016129032258064516,0,0,2,1,0,0,1,2,1,2,4,0
"[H L H L H]","[(H2 L) (H2 L) (H1)]",1,1.0,0.016129032258064516,0,1,2,0,0,0,0,4,0,6,4,1
"[H L H H L]","[(H2 L) (H2) (H1 L)]",1,1.0,0.016129032258064516,0,1,2,0,0,0,0,3,0,5,5,1
"[H L H H H]","[(H2 L) (H2) (H2) (H1)]",1,0.9999999999980568,0.01612903225803317,0,3,1,0,0,0,0,4,0,9,6,1
