UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,197.8285773356123,81.21179585061662,1.418967557873162,17.119817943909936,93.43679998338266,0.319329721780121,27.32672257255613,16.424747014251388,0.0,0.0,6.812399754389619,0.5616384513411194,
"[L L]","[(L1 L)]",1,1.0,0.016129032258064516,0,0,1,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,0.9999999999999981,0.016129032258064484,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H1 L)]",1,1.0,0.016129032258064516,0,0,1,0,0,0,0,0,0,0,0,1
"[H H]","[(H1) (H2)]",1,0.9999999264092009,0.016129031071116143,0,2,0,0,0,0,0,0,1,1,1,1
"[L L L]","[L (L1 L)]",1,0.9999999510960266,0.016129031469290754,0,0,1,1,0,1,0,1,0,1,0,1
"[L L H]","[(L1 L) (H2)]",1,0.9999999999926167,0.01612903225794543,0,1,1,0,0,0,0,0,1,2,1,1
"[L H L]","[L (H1 L)]",1,1.0,0.016129032258064516,0,0,1,1,0,1,0,1,0,1,0,1
"[L H H]","[(L H1) (H2)]",1,0.9999999999999927,0.016129032258064398,0,2,0,0,0,0,0,0,1,2,1,1
"[H L L]","[(H1 L) L]",1,1.0,0.016129032258064516,0,0,1,1,0,0,1,0,1,0,1,0
"[H L H]","[(H1 L) (H2)]",1,0.9999999999999947,0.01612903225806443,0,1,1,0,0,0,0,0,1,2,1,1
"[H H L]","[(H1) (H2 L)]",1,0.9999999264092934,0.016129031071117635,0,1,1,0,0,0,0,0,2,1,2,1
"[H H H]","[(H1) (H2) (H2)]",1,0.9999999263251073,0.016129031069759794,0,3,0,0,0,0,0,0,2,3,3,1
"[L L L L]","[(L1 L) (L2 L)]",1,0.9999999999999947,0.01612903225806443,0,0,2,0,0,0,0,0,2,2,2,1
"[L L L H]","[(L1 L) (L H2)]",1,0.9999999632735718,0.016129031665702773,0,1,1,0,0,0,0,0,2,2,2,1
"[L L H L]","[(L1 L) (H2 L)]",1,0.9999999999999947,0.01612903225806443,0,0,2,0,0,0,0,0,2,2,2,1
"[L L H H]","[(L1 L) (H2) (H2)]",1,0.9999999932929929,0.016129032149886983,0,2,1,0,0,0,0,0,2,5,3,1
"[L H L L]","[L (H1 L) L]",1,0.9999655304189004,0.016128476297079038,0,0,1,2,0,1,1,1,1,1,1,0
