UR,SR,p(SR)_TD,p(SR)_LE,p(HR)_normed,p(HR)_absolute,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,,,49.12675650472276,0.0,31.376910975446094,34.81239632820896,49.92325874000486,0.0,0.16513501899053185,2.7137694771309593,19.166962586234455,0.0,7.840805175074578,13.328141539009424,
"[L L]"
,[L L1],1,0.9999999999999764
,,,,1.0500197656585103e-38,1.6935802671911456e-40,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,,0.9999999999999764,0.016129032258064134,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0,1.1308757487923337e-48
,,,,1.1308757487923337e-48,1.8239931432134415e-50,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],0,2.3614606013377507e-14
,,,,1.53839965224095e-43,2.4812897616789516e-45,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,,2.3614606013377507e-14,3.808807421512501e-16,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0,8.088796582909288e-56
,,,,8.088796582909288e-56,1.3046446101466593e-57,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0,5.430135668523455e-27
,,,,5.430135668523455e-27,8.758283336328153e-29,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0,1.090690273911734e-35
,,,,1.090690273911734e-35,1.759177861147958e-37,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,7.105422538651807e-65,1.1460358933309366e-66,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0,3.884004311454389e-34
,,,,3.884004311454389e-34,6.26452308299095e-36,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1,1.0
