UR,SR,p(SR)_TD,p(SR)_LE,p(HR)_normed,p(HR)_absolute,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,,,0.7577710504658453,0.0,43.3580495459272,58.21168196123409,65.42524507715079,0.0,4.385118717935699,8.877516435957979,0.0,0.0,19.17849907428808,123.66306542984135,
"[L L]"
,[L L1],1,0.9999999999400481
,,,,2.816491381239316e-58,4.5427280342569623e-60,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,,0.9999999999400481,0.016129032257097553,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0,9.722578343518959e-70
,,,,9.722578343518959e-70,1.5681577973417678e-71,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],0,5.995184865233805e-11
,,,,5.995184850448227e-11,9.669652984593916e-13,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,,1.478557900064981e-19,2.3847708065564215e-21,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0,6.97008143924508e-66
,,,,6.97008143924508e-66,1.1242066837492067e-67,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0,2.5211829735722544e-41
,,,,2.5211829735722544e-41,4.0664241509229915e-43,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0,2.8100030651323785e-11
,,,,6.93014865188191e-20,1.1177659115938566e-21,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,2.81000305820223e-11,4.5322629971003716e-13,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0,1.807427004252447e-37
,,,,1.807427004252447e-37,2.9152048455684635e-39,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1,0.9999999999718999
