UR,SR,p(SR)_TD,p(SR)_LE,p(HR)_normed,p(HR)_absolute,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,,,0.0,10.11354311885269,35.65949325432622,22.508151913124156,46.87220164831907,54.1817446779217,2.7673185015520967,0.0,16.749749269005864,0.0,8.781276718786522,81.68777929557,
"[L L]"
,[L L1],1,0.9999998864301791
,,,,2.1760181473717048e-54,3.5097066893092013e-56,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,,0.9999998864301791,0.01612903042629321,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0,1.206165487283683e-49
,,,,1.206165487283683e-49,1.9454282052962628e-51,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],0,1.1356982086256278e-07
,,,,1.1356177570096574e-07,1.8316415435639634e-09,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,,8.045161597039525e-12,1.2976067091999232e-13,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0,6.41332452935995e-57
,,,,6.41332452935995e-57,1.0344071821548305e-58,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0,2.7399676048954154e-29
,,,,2.7399676048954154e-29,4.4193025885409925e-31,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0,1.1356982086256275e-07
,,,,8.045161597039523e-12,1.297606709199923e-13,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,1.1356177570096571e-07,1.831641543563963e-09,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0,1.4568731766401883e-36
,,,,1.4568731766401883e-36,2.349795446193852e-38,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1,0.9999998864301791
,,,,0.9999998864301791,0.01612903042629321,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,,4.943118746408717e-34,7.972772171626963e-36,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0,3.876405895764616e-14
,,,,8.435130533738737e-68,1.36050492479657e-69,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
