UR,SR,p(SR)_TD,p(SR)_LE,p(HR)_normed,p(HR)_absolute,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,,,55.79454062542395,0.20411277404063066,20.294707298540008,12.347083360288241,68.99600345444388,8.826231823777585,0.11661170462127153,0.48635393640586483,18.51973897441136,0.23888688838637595,0.0,71.41811056696957,
"[L L]"
,[L L1],1,0.9999999981169726
,,,,3.349611116852048e-40,5.40259857556782e-42,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,,0.9999999981169726,0.01612903222769311,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0,4.647503357446591e-61
,,,,4.647503357446591e-61,7.495973157171923e-63,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],0,1.8830273984990877e-09
,,,,3.944330692642695e-13,6.361823697810799e-15,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,,1.8826329654298233e-09,3.0365047829513286e-11,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0,6.845735262576625e-69
,,,,6.845735262576625e-69,1.1041508488026817e-70,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0,4.283544534958388e-31
,,,,4.283544534958388e-31,6.908942798319981e-33,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0,1.105593625124627e-33
,,,,1.1053620391757105e-33,1.7828419986705008e-35,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,2.31585948916367e-37,3.735257240586564e-39,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0,6.309626828950389e-39
,,,,6.309626828950389e-39,1.0176817466049015e-40,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1,1.0
,,,,0.9999999996912706,0.01612903225308501,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,,3.08729381998996e-10,4.979506161274129e-12,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0,1.615035200927908e-42
,,,,5.409739873322113e-82,8.72538689245502e-84,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,,1.615035200927908e-42,2.6048954853675933e-44,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1,1.0
,,,,5.178557065542753e-27,8.352511396036698e-29,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,,1.0,0.016129032258064516,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0,1.1782742674480531e-48
,,,,1.1782742674480531e-48,1.9004423668516985e-50,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0,1.7355885690177195e-56
,,,,1.7355885690177195e-56,2.799336401641483e-58,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],1,0.9999994446294611
,,,,0.9999994446294611,0.016129023300475182,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0,1.472991181316347e-08
,,,,1.472991181316347e-08,2.375792227929592e-10,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0,1.4871397588809814e-24
