UR,HR,p_TD,p_normed,p_absolute,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,44.46898326134855,0.0,28.472139663119414,31.424977181577276,53.70514587762439,6.151331447537916,1.620460866368822,0.0,24.37788079110321,6.9341617738639245,0.0,0.3796037299923022,
"[L L]","[(L L1)]",1,0.9999999999995687,0.016129032258057563,0,1,0,0,0,0,0,0,0,0,0,1
"[L H]","[(L H1)]",1,1.0,0.016129032258064516,0,1,0,0,0,0,0,0,0,0,0,1
"[H L]","[(H1 L)]",1,0.9999998871086695,0.016129030437236604,0,0,1,0,0,0,0,0,0,0,0,1
"[H H]","[(H2) (H1)]",1,0.9999999999741286,0.01612903225764723,0,2,0,0,0,0,0,1,0,1,1,1
"[L L L]","[L (L L1)]",1,0.9999962961869268,0.01612897251914398,0,1,0,1,0,1,0,1,0,1,0,1
"[L L H]","[(L L2) (H1)]",1,0.9999999999736481,0.016129032257639484,0,2,0,0,0,0,0,2,0,2,1,1
"[L H L]","[(L H1) L]",1,0.9999731519043323,0.01612859922426342,0,1,0,1,0,0,1,0,1,0,1,0
"[L H H]","[(L H2) (H1)]",1,0.9999999999741286,0.016129032257647235,0,2,0,0,0,0,0,2,0,2,1,1
"[H L L]","[(H2) (L L1)]",1,0.9999999999995687,0.016129032258057563,0,2,0,0,0,0,0,1,0,1,2,1
"[H L H]","[(H2) (L H1)]",1,0.9999999999999996,0.01612903225806451,0,2,0,0,0,0,0,1,0,1,2,1
"[H H L]","[(H2) (H1 L)]",1,0.9999998871086802,0.016129030437236777,0,1,1,0,0,0,0,1,0,1,2,1
"[H H H]","[(H2) (H2) (H1)]",1,0.9999999999740772,0.016129032257646406,0,3,0,0,0,0,0,2,0,3,3,1
"[L L L L]","[(L L2) (L L1)]",1,0.9999999999991375,0.016129032258050607,0,2,0,0,0,0,0,2,0,2,2,1
"[L L L H]","[(L L2) (L H1)]",1,0.9999999999995687,0.01612903225805756,0,2,0,0,0,0,0,2,0,2,2,1
"[L L H L]","[(L L2) (H1 L)]",1,0.9999998871082489,0.016129030437229824,0,1,1,0,0,0,0,2,0,2,2,1
"[L L H H]","[(L L2) (H2) (H1)]",1,0.9999999999209529,0.016129032256789563,0,3,0,0,0,0,0,3,0,5,3,1
"[L H L L]","[(L H2) (L L1)]",1,0.9999999999995687,0.01612903225805756,0,2,0,0,0,0,0,2,0,2,2,1
"[L H L H]","[(L H2) (L H1)]",1,1.0,0.016129032258064516,0,2,0,0,0,0,0,2,0,2,2,1
"[L H H L]","[(L H2) (H1 L)]",1,0.9999998871086802,0.016129030437236777,0,1,1,0,0,0,0,2,0,2,2,1
"[L H H H]","[(L H2) (H2) (H1)]",1,0.9999999999214335,0.016129032256797314,0,3,0,0,0,0,0,3,0,5,3,1
"[H L L L]","[(H2 L) (L L1)]",1,0.9503973239384021,0.01532898909578068,0,1,1,0,0,0,0,2,0,2,2,1
"[H L L H]","[(H2) (L L2) (H1)]",1,0.9999995216324477,0.016129024542458834,0,3,0,0,0,0,0,3,0,4,4,1
"[H L H L]","[(H2) (L H1) L]",1,0.9988693459716373,0.016110795902768343,0,2,0,1,0,0,1,1,1,1,4,0
"[H L H H]","[(H2) (L H2) (H1)]",1,0.9999999999741281,0.016129032257647228,0,3,0,0,0,0,0,3,0,4,4,1
"[H H L L]","[(H2) (H2) (L L1)]",1,0.9999999999995687,0.016129032258057563,0,3,0,0,0,0,0,2,0,3,5,1
"[H H L H]","[(H2) (H2) (L H1)]",1,0.9999999999999996,0.01612903225806451,0,3,0,0,0,0,0,2,0,3,5,1
"[H H H L]","[(H2) (H2) (H1 L)]",1,0.9999998871086802,0.016129030437236777,0,2,1,0,0,0,0,2,0,3,5,1
"[H H H H]","[(H2) (H2) (H2) (H1)]",1,0.9999999999213821,0.016129032256796485,0,4,0,0,0,0,0,3,0,6,6,1
"[L L L L L]","[(L L2) L (L L1)]",1,0.9999979172061487,0.0161289986646153,0,2,0,1,0,0,0,3,0,3,3,1
"[L L L L H]","[(L L2) (L L2) (H1)]",1,0.9999756386585559,0.01612863933320251,0,3,0,0,0,0,0,4,0,6,4,1
"[L L L H L]","[(L L2) (L H1) L]",1,0.9999438574747275,0.01612812673346334,0,2,0,1,0,0,1,2,1,2,4,0
"[L L L H H]","[(L L2) (L H2) (H1)]",1,0.9999999999736973,0.01612903225764028,0,3,0,0,0,0,0,4,0,6,4,1
"[L L H L L]","[(L L2) (H2) (L L1)]",1,0.9999999999990882,0.016129032258049812,0,3,0,0,0,0,0,3,0,5,5,1
"[L L H L H]","[(L L2) (H2) (L H1)]",1,0.999999999999519,0.016129032258056758,0,3,0,0,0,0,0,3,0,5,5,1
"[L L H H L]","[(L L2) (H2) (H1 L)]",1,0.9999998871081996,0.016129030437229026,0,2,1,0,0,0,0,3,0,5,5,1
"[L L H H H]","[(L L2) (H2) (H2) (H1)]",1,0.9999999458157899,0.016129031384125643,0,4,0,0,0,0,0,4,0,9,6,1
"[L H L L L]","[(L H2) L (L L1)]",1,0.99999999231903,0.016129032134177903,0,2,0,1,0,0,0,3,0,3,3,1
"[L H L L H]","[(L H2) (L L2) (H1)]",1,0.9999756387095383,0.016128639334024808,0,3,0,0,0,0,0,4,0,6,4,1
"[L H L H L]","[(L H2) (L H1) L]",1,0.9999438575916539,0.016128126735349257,0,2,0,1,0,0,1,2,1,2,4,0
"[L H L H H]","[(L H2) (L H2) (H1)]",1,0.9999999999741286,0.016129032257647235,0,3,0,0,0,0,0,4,0,6,4,1
"[L H H L L]","[(L H2) (H2) (L L1)]",1,0.9999999999995687,0.01612903225805756,0,3,0,0,0,0,0,3,0,5,5,1
"[L H H L H]","[(L H2) (H2) (L H1)]",1,0.9999999999999996,0.01612903225806451,0,3,0,0,0,0,0,3,0,5,5,1
"[L H H H L]","[(L H2) (H2) (H1 L)]",1,0.9999998871086802,0.016129030437236777,0,2,1,0,0,0,0,3,0,5,5,1
"[L H H H H]","[(L H2) (H2) (H2) (H1)]",1,0.9999999458162704,0.01612903138413339,0,4,0,0,0,0,0,4,0,9,6,1
"[H L L L L]","[(H2) (L L2) (L L1)]",1,0.9999999999991377,0.016129032258050603,0,3,0,0,0,0,0,3,0,4,6,1
"[H L L L H]","[(H2) (L L2) (L H1)]",1,0.9999999999995687,0.01612903225805756,0,3,0,0,0,0,0,3,0,4,6,1
"[H L L H L]","[(H2) (L L2) (H1 L)]",1,0.9999998871082489,0.016129030437229824,0,2,1,0,0,0,0,3,0,4,6,1
"[H L L H H]","[(H2) (L L2) (H2) (H1)]",1,0.9999994675273363,0.01612902366979575,0,4,0,0,0,0,0,4,0,8,7,1
"[H L H L L]","[(H2) (L H2) (L L1)]",1,0.9999999999995682,0.016129032258057553,0,3,0,0,0,0,0,3,0,4,6,1
"[H L H L H]","[(H2) (L H2) (L H1)]",1,0.9999999999999996,0.01612903225806451,0,3,0,0,0,0,0,3,0,4,6,1
"[H L H H L]","[(H2) (L H2) (H1 L)]",1,0.9999998871086798,0.01612903043723677,0,2,1,0,0,0,0,3,0,4,6,1
"[H L H H H]","[(H2) (L H2) (H2) (H1)]",1,0.9999999458689651,0.016129031384983308,0,4,0,0,0,0,0,4,0,8,7,1
"[H H L L L]","[(H2) (H2 L) (L L1)]",1,0.9503973239384117,0.015328989095780834,0,2,1,0,0,0,0,3,0,4,6,1
"[H H L L H]","[(H2) (H2) (L L2) (H1)]",1,0.9995091000225146,0.016121114516492167,0,4,0,0,0,0,0,4,0,7,8,1
"[H H L H L]","[(H2) (H2) (L H1) L]",1,0.9988693719201105,0.016110796321292108,0,3,0,1,0,0,1,2,1,3,8,0
"[H H L H H]","[(H2) (H2) (L H2) (H1)]",1,0.9999999999741281,0.016129032257647228,0,4,0,0,0,0,0,4,0,7,8,1
"[H H H L L]","[(H2) (H2) (H2) (L L1)]",1,0.9999999999995175,0.016129032258056734,0,4,0,0,0,0,0,3,0,6,9,1
"[H H H L H]","[(H2) (H2) (H2) (L H1)]",1,0.9999999999999482,0.016129032258063683,0,4,0,0,0,0,0,3,0,6,9,1
"[H H H H L]","[(H2) (H2) (H2) (H1 L)]",1,0.9999998871086287,0.01612903043723595,0,3,1,0,0,0,0,3,0,6,9,1
"[H H H H H]","[(H2) (H2) (H2) (H2) (H1)]",1,0.999999945816219,0.01612903138413256,0,5,0,0,0,0,0,4,0,10,10,1
"[L L L L L L]","[(L L2) (L L2) (L L1)]",1,0.9999999999987064,0.01612903225804365,0,3,0,0,0,0,0,4,0,6,6,1
"[L L L L L L L]","[(L L2) (L L2) L (L L1)]",1,0.9990269988425794,0.016113338691009352,0,3,0,1,0,0,0,5,0,7,8,1
