UR,SR,p(SR)_TD,p(SR)_LE,p(HR)_normed,p(HR)_absolute,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,,,0.0,11.639006319012733,0.0,0.0,1.0346062781317809,3.486231877195281,0.634077262912966,3.1407030603861434,0.0,6.342360272091953,0.07240626639296631,1.368873206616947,
"[L L]"
,[L L1],0,8.815311707597731e-06
,,,,7.30163589414163e-12,1.1776832087325212e-13,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,,8.815304405961837e-06,1.4218232912841676e-07,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0,6.949375530204625e-16
,,,,6.949375530204625e-16,1.1208670210007461e-17,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],1,0.9999911846882754
,,,,6.075551379446543e-06,9.799276418462168e-08,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,,0.999985109136896,0.016128792082853165,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0,1.6067036827238138e-14
,,,,1.6067036827238138e-14,2.591457552780345e-16,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0,1.9555529433012325e-15
,,,,1.9555529433012325e-15,3.154117650485858e-17,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],1,0.9999911846750004
,,,,0.999985109123621,0.016128792082639044,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,6.075551379365889e-06,9.799276418332077e-08,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0,4.5212610861323933e-14
,,,,4.5212610861323933e-14,7.292356590536116e-16,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],0,8.815324952634235e-06
,,,,8.815304405844813e-06,1.421823291265292e-07,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,,2.0546789422505424e-11,3.313998293952487e-13,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0,8.815214554777881e-06
,,,,7.30155542341749e-12,1.177670229583466e-13,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,,8.815207253222457e-06,1.4218076214874931e-07,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1,0.9999911847853981
,,,,0.9999740883838717,0.016128614328772124,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,,1.7096401526395148e-05,2.7574841171605076e-07,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0,1.9555313913402512e-15
,,,,1.9555313913402512e-15,3.1540828892584694e-17,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0,4.5212112577486366e-14
,,,,4.5212112577486366e-14,7.29227622217522e-16,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],0,5.502861590127068e-15
,,,,5.502861590127068e-15,8.87558320988237e-17,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0,1.272267982057986e-13
,,,,1.272267982057986e-13,2.0520451323515908e-15,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0,8.815227799667922e-06
