UR,SR,p_TD,p_LE,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,0.0,32.18481521195397,0.0,13.984346832140906,4.0173111416198415,12.325417804379338,17.81333733159306,24.888615787922472,2.4116600146935756,7.02002435108906,0.0,0.0,
"[L L]"
,[L L1],0
,,,1.589617600685621e-43,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,1.6979334448264163e-16,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0
,,,8.037010876313502e-48,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],1
,,,4.249082816470083e-33,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,0.01612903225806435,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0
,,,4.6420778374585623e-38,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0
,,,4.464682879338101e-46,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],1
,,,0.01612903225806435,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,4.249082816470083e-33,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0
,,,2.578745476945568e-36,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],0
,,,1.6979334448264163e-16,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,8.830569717644812e-42,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0
,,,1.589617600685621e-43,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,1.6979334448264163e-16,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1
,,,0.01612903225806435,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,2.3604307118077985e-31,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0
,,,4.464682879338101e-46,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0
,,,2.578745476945568e-36,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],0
,,,2.480199855371852e-44,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0
,,,1.43253268637736e-34,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0
,,,8.830569717644812e-42,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,1.6979334448264163e-16,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],1
,,,0.01612903225806435,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,2.3604307118077985e-31,"[(H1) H]",1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]"
,[L2 L1 L2],0
,,,7.847900902239238e-56,"[(L2) (L1) (L2)]",0,3,0,0,3,0,0,1,1,3,3,1
,[L L1 L2],0
,,,1.5522140749370164e-51,"[L (L1) (L2)]",0,2,0,1,2,1,0,1,1,3,1,1
,,,1.6579812592846805e-24,"[(L L1) (L2)]",0,2,0,0,1,0,0,0,1,2,1,1
,[L1 L L2],0
,,,1.6632855676690788e-22,"[(L1) (L L2)]",0,2,0,0,1,0,0,0,2,1,2,1
,,,1.574951791882691e-10,"[(L1 L) (L2)]",0,1,1,0,1,0,0,0,1,2,1,1
,,,2.2604154005236437e-33,"[(L1) L (L2)]",0,2,0,1,2,0,0,0,2,2,2,1
,[L L L1],0
,,,6.352105465636803e-27,"[L (L L1)]",0,1,0,1,0,1,0,1,0,1,0,1
,,,1.3401414491270836e-48,"[L L (L1)]",0,1,0,2,1,1,0,2,0,2,0,1
,[L2 L1 L],0
,,,3.0507543633974036e-17,"[(L2) (L1 L)]",0,1,1,0,1,0,0,1,0,1,2,1
,,,8.037002924525453e-48,"[(L2) (L1) L]",0,2,0,1,2,0,1,1,1,1,3,0
,[L L1 L],0
,,,6.034000583123969e-13,"[L (L1 L)]",0,0,1,1,0,1,0,1,0,1,0,1
,,,1.5896160279240015e-43,"[L (L1) L]",0,1,0,2,1,1,1,1,1,1,1,0
,,,1.697931764897524e-16,"[(L L1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[L2 L2 L1],0
,,,1.3587377703700825e-65,"[(L2) (L2) (L1)]",0,3,0,0,3,0,0,2,0,3,3,1
,[L1 L L],1
,,,2.314882082604769e-25,"[(L1) L L]",0,1,0,2,1,0,1,0,2,0,2,0
,,,0.016129016300061062,"[(L1 L) L]",0,0,1,1,0,0,1,0,1,0,1,0
,[L2 L L1],0
