UR,SR,p(SR)_TD,p(SR)_LE,p(HR)_normed,p(HR)_absolute,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,,,71.16811718714415,0.0,36.84169595237977,29.12872344899627,53.780302286528936,2.469233475227222,0.0,36.834455246502806,0.0,6.924177469893304,0.0,59.241014582766056,
"[L L]"
,[L L1],1,0.9999999999473845
,,,,8.252022926154741e-57,1.3309714397023774e-58,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,,0.9999999999473845,0.01612903225721588,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0,1.9181838906187677e-66
,,,,1.9181838906187677e-66,3.09384498486898e-68,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],0,5.261555839905296e-11
,,,,5.2615458432493816e-11,8.486364263305454e-13,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,,9.996655913993744e-17,1.6123638570957651e-18,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0,1.9049820895024595e-50
,,,,1.9049820895024595e-50,3.0725517572620312e-52,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0,4.358918585810964e-43
,,,,4.358918585810964e-43,7.0305138480822e-45,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0,6.504195731367512e-42
,,,,1.2357600812788903e-47,1.993161421417565e-49,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,6.504183373766698e-42,1.0490618344784996e-43,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0,4.328918554774641e-27
,,,,4.328918554774641e-27,6.982126701249421e-29,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1,1.0
,,,,1.0,0.016129032258064516,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,,1.8752058277244167e-33,3.0245255285877685e-35,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0,1.0338976336264125e-44
,,,,8.531746976431072e-101,1.3760882220050116e-102,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,,1.0338976336264125e-44,1.6675768284296977e-46,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1,1.0
,,,,8.360896880274995e-30,1.3485317548830636e-31,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,,1.0,0.016129032258064516,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0,3.6456660224291125e-56
,,,,3.6456660224291125e-56,5.880106487788891e-58,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0,3.620574915158386e-40
,,,,3.620574915158386e-40,5.839636959932881e-42,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],0,1.006930144482212e-16
,,,,1.006930144482212e-16,1.6240808781971161e-18,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],1,0.9999999999999984
,,,,0.9999999999999984,0.01612903225806449,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0,1.256641751977206e-28
,,,,2.356461936669444e-61,3.800745059144264e-63,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,,1.256641751977206e-28,2.0268415354471063e-30,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],0,1.5024961295686e-15
,,,,1.256221520233554e-44,2.026163742312184e-46,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,1.5024961295686e-15,2.423380854142903e-17,"[(H1) H]",1,1,0,1,0,0,1,0,1,0,1,0
"[L L L]"
,[L2 L1 L2],0,6.831808913855387e-109
,,,,6.831808913855387e-109,1.1019046635250621e-110,"[(L2) (L1) (L2)]",0,3,0,0,3,0,0,1,1,3,3,1
,[L L1 L2],0,3.5616026945635105e-43
,,,,2.939042709093815e-99,4.740391466280345e-101,"[L (L1) (L2)]",0,2,0,1,2,1,0,1,1,3,1,1
,,,,3.5616026945635105e-43,5.744520475102435e-45,"[(L L1) (L2)]",0,2,0,0,1,0,0,0,1,2,1,1
,[L1 L L2],0,3.620574915158387e-40
,,,,3.620574915158387e-40,5.839636959932881e-42,"[(L1) (L L2)]",0,2,0,0,1,0,0,0,2,1,2,1
,,,,3.56041166417777e-59,5.7425994583512404e-61,"[(L1 L) (L2)]",0,1,1,0,1,0,0,0,1,2,1,1
,,,,3.5052023510067974e-79,5.65355217904322e-81,"[(L1) L (L2)]",0,2,0,1,2,0,0,0,2,2,2,1
,[L L L1],0,1.5683647300616141e-46
,,,,1.5683647300616141e-46,2.5296205323574416e-48,"[L (L L1)]",0,1,0,1,0,1,0,1,0,1,0,1
,,,,1.5289101572861896e-101,2.465984124655144e-103,"[L L (L1)]",0,1,0,2,1,1,0,2,0,2,0,1
,[L2 L1 L],0,1.9181875351665202e-66
,,,,3.6444468805479066e-72,5.878140129915977e-74,"[(L2) (L1 L)]",0,1,1,0,1,0,0,1,0,1,2,1
,,,,1.9181838907196397e-66,3.093844985031676e-68,"[(L2) (L1) L]",0,2,0,1,2,0,1,1,1,1,3,0
,[L L1 L],1,1.0
,,,,1.567840255489434e-62,2.5287746056281187e-64,"[L (L1 L)]",0,0,1,1,0,1,0,1,0,1,0,1
,,,,8.252022926588692e-57,1.3309714397723694e-58,"[L (L1) L]",0,1,0,2,1,1,1,1,1,1,1,0
,,,,1.0,0.016129032258064512,"[(L L1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[L2 L2 L1],0,6.879154336702986e-125
,,,,6.879154336702986e-125,1.1095410220488685e-126,"[(L2) (L2) (L1)]",0,3,0,0,3,0,0,2,0,3,3,1
,[L1 L L],0,9.996655914519723e-17
,,,,9.841643360044754e-37,1.5873618322652825e-38,"[(L1) L L]",0,1,0,2,1,0,1,0,2,0,2,0
,,,,9.996655914519723e-17,1.6123638571806e-18,"[(L1 L) L]",0,0,1,1,0,0,1,0,1,0,1,0
,[L2 L L1],0,3.645666022429113e-56
