UR,SR,p(SR)_TD,p(SR)_LE,p(HR)_normed,p(HR)_absolute,HR,WSP,FootNonFin,Iambic,Parse,FtBin,WordFootLeft,WordFootRight,MainLeft,MainRight,AllFeetLeft,AllFeetRight,NonFinal
,,,,,,,291.0959122431907,125.64845920512003,0.0,30.653475867153475,49.36285706994818,0.0,1.542407710511174,1.0412252714211323,28.086901348180366,0.0,7.3333426540733715,157.39406624325537,
"[L L]"
,[L L1],0,2.701266965830714e-55
,,,,1.6932350938921743e-90,2.731024344987378e-92,"[L (L1)]",0,1,0,1,1,1,0,1,0,1,0,1
,,,,2.701266965830714e-55,4.356882202952764e-57,"[(L L1)]",0,1,0,0,0,0,0,0,0,0,0,1
,[L2 L1],0,2.2391000717073143e-156
,,,,2.2391000717073143e-156,3.6114517285601842e-158,"[(L2) (L1)]",0,2,0,0,2,0,0,1,0,1,1,1
,[L1 L],1,1.0
,,,,9.629737068308112e-38,1.5531833981142117e-39,"[(L1) L]",0,1,0,1,1,0,1,0,1,0,1,0
,,,,1.0,0.016129032258064516,"[(L1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,[L1 L2],0,4.020551453093843e-168
,,,,4.020551453093843e-168,6.484760408215875e-170,"[(L1) (L2)]",0,2,0,0,2,0,0,0,1,1,1,1
"[L H]"
,[L2 H1],0,2.2725970193942235e-80
,,,,2.2725970193942235e-80,3.66547906353907e-82,"[(L2) (H1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[L1 H],0,1.403085384099618e-72
,,,,1.403085384099618e-72,2.263040942096158e-74,"[(L1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
,,,,1.3511343333265035e-109,2.1792489247201667e-111,"[(L1) H]",1,1,0,1,1,0,1,0,1,0,1,0
,[L1 H2],0,4.080698921891037e-92
,,,,4.080698921891037e-92,6.581772454662963e-94,"[(L1) (H2)]",0,2,0,0,1,0,0,0,1,1,1,1
,[L H1],1,1.0
,,,,0.9999999999999828,0.016129032258064238,"[(L H1)]",0,1,0,0,0,0,0,0,0,0,0,1
,,,,1.718565898923366e-14,2.7718804821344613e-16,"[L (H1)]",0,1,0,1,0,1,0,1,0,1,0,1
"[H L]"
,[H L1],0,1.0238094073013977e-181
,,,,6.417544211023806e-217,1.0350877759715816e-218,"[H (L1)]",1,1,0,1,1,1,0,1,0,1,0,1
,,,,1.0238094073013977e-181,1.6513054956474156e-183,"[(H L1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 L],1,1.0
,,,,0.9999999999999998,0.016129032258064512,"[(H1 L)]",0,0,1,0,0,0,0,0,0,0,0,1
,,,,2.6401637615424097e-16,4.258328647649048e-18,"[(H1) L]",0,1,0,1,0,0,1,0,1,0,1,0
,[H2 L1],0,6.138891255135061e-135
,,,,6.138891255135061e-135,9.901437508282357e-137,"[(H2) (L1)]",0,2,0,0,1,0,0,1,0,1,1,1
,[H1 L2],0,1.1023057195205456e-146
,,,,1.1023057195205456e-146,1.7779124508395894e-148,"[(H1) (L2)]",0,2,0,0,1,0,0,0,1,1,1,1
"[H H]"
,[H2 H1],1,0.9999999999981817
,,,,0.9999999999981817,0.01612903225803519,"[(H2) (H1)]",0,2,0,0,0,0,0,1,0,1,1,1
,[H1 H2],0,1.7956104346961418e-12
,,,,1.7956104346961418e-12,2.896145862413132e-14,"[(H1) (H2)]",0,2,0,0,0,0,0,0,1,1,1,1
,[H H1],0,6.082928882071301e-69
,,,,1.045391414230377e-82,1.6861151842425435e-84,"[H (H1)]",1,1,0,1,0,1,0,1,0,1,0,1
,,,,6.082928882071197e-69,9.811175616243865e-71,"[(H H1)]",1,1,0,0,0,0,0,0,0,0,0,1
,[H1 H],0,2.2518799359768958e-14
,,,,2.2518799359768952e-14,3.63206441286596e-16,"[(H1 H)]",1,0,1,0,0,0,0,0,0,0,0,1
